Date,Close,High,Low,Open,Volume
2024-06-10,425.73590087890625,444.42991663525294,421.6093064252137,441.59598008664244,667680
2024-06-11,440.45245361328125,444.33045752669005,428.0726403770662,428.0726403770662,1340932
2024-06-12,447.1643981933594,461.38375612540096,440.6513118769579,441.44681931896054,1773788
2024-06-13,463.3227844238281,467.05164030122074,450.3463477631977,450.396084048867,1452472
2024-06-14,467.0516357421875,475.3048245320519,461.28432050081267,465.65950528514446,949904
2024-06-18,491.0654602050781,494.89375826248255,469.8358349281139,469.8358349281139,1723886
2024-06-19,469.7861328125,494.09825483270487,466.3555732802317,492.2089739311613,966144
2024-06-20,475.7025451660156,477.69126820629623,465.6097818056927,471.7250990854545,580864
2024-06-21,472.27203369140625,489.0270016524397,470.6810491309161,474.3104627452956,1061051
2024-06-24,493.00445556640625,495.88812840340756,468.2448584772891,471.4268276478734,1412062
2024-06-25,492.905029296875,498.0259851772738,483.1602679623674,495.0429005464971,749360
2024-06-26,514.9300537109375,526.8623911365396,492.9049839607841,494.4959380077951,3302307
2024-06-27,516.471435546875,534.9168309540458,511.1018586696593,525.0229209680547,2333403
2024-06-28,522.6861572265625,527.011605561845,505.63283288339284,521.1448483178655,775560
2024-07-01,560.2233276367188,567.4821548924285,527.0116272292619,527.0116272292619,2355749
2024-07-02,576.729736328125,586.6236465291987,557.3893907906423,564.1013316875644,2628843
2024-07-03,570.6641235351562,584.3365949845513,563.4052355946669,574.7409816545706,966426
2024-07-04,484.5523681640625,556.8424645377968,473.61439118207005,556.8424645377968,9219358
2024-07-05,479.58056640625,502.15258586968395,475.30482385288894,489.723066417464,3261163
2024-07-08,451.6390075683594,481.61900086565925,443.03775627638777,479.580541573742,3479819
2024-07-09,492.7061462402344,495.8881153269106,454.4729326430268,455.41758825030746,3540152
2024-07-10,480.6246643066406,500.11415687921925,473.3658067383477,497.18077814993205,1735008
2024-07-11,490.7174072265625,496.1863955543155,480.276611328125,483.8563188481189,1789990
2024-07-12,465.5103454589844,496.1864048115234,461.58263561216853,492.8055816694839,1496799
2024-07-15,496.08697509765625,498.9706175460607,470.1341323710036,471.22793615364156,2158598
2024-07-16,510.9029235839844,513.0905310094357,494.1976626195534,498.6225834069645,2461464
2024-07-18,513.4883422851562,516.073658107168,497.28023038392746,510.9029657721303,1486120
2024-07-19,511.9470520019531,515.0793153582408,489.9219786961285,512.99118024806,1140362
2024-07-22,496.8824768066406,507.12438859496393,488.3806673787743,507.12438859496393,700852
2024-07-23,499.66668701171875,510.0577775166329,477.343257712495,500.3627522462562,2174036
2024-07-24,507.6712646484375,511.59900481192074,494.84400704003855,499.3683701878555,602020
2024-07-25,499.66668701171875,507.12439875816233,497.3299312620651,497.3299312620651,489304
2024-07-26,501.35711669921875,506.32892455880835,496.68360517300175,502.6000686641162,718488
2024-07-29,507.0249328613281,520.697434103663,499.16948292425076,507.22381730348417,932145
2024-07-30,521.492919921875,536.855817798008,517.5651797147518,529.9449929815779,2842272
2024-07-31,509.8588562011719,521.9403726332932,508.2181658046815,521.9403726332932,571197
2024-08-01,508.21820068359375,530.4918936154015,505.38426416125174,512.9911543910926,1608680
2024-08-02,517.4657592773438,520.5482557128973,499.4677793509828,503.1469291131348,736218
2024-08-05,482.6133728027344,505.1853612398185,477.2935325685463,499.16948614460466,1416144
2024-08-06,469.3386535644531,495.78867697426296,460.3893995769953,487.73434231644967,1076415
2024-08-07,480.2269287109375,490.41913472578483,461.68206129532206,477.29354996358364,1512126
2024-08-08,531.6354370117188,556.5441821708499,494.79432268201055,500.1638690841907,14787575
2024-08-09,554.953125,579.4144541438646,543.6671463301805,556.9418479861187,5856843
2024-08-12,554.306884765625,565.9409275966989,548.24124260516,558.28433115635,1958666
2024-08-13,531.8839721679688,565.1950812619442,529.0500055767127,556.7927147403369,2050494
2024-08-14,551.92041015625,561.66514198433,526.3155982040256,534.5687875882867,2534221
2024-08-16,539.6400146484375,564.5487588450084,537.1541108226119,556.8424569849489,1161848
2024-08-19,565.1453857421875,571.4596182571187,543.1700188662913,544.4129708545438,1709134
2024-08-20,545.2581176757812,575.088963410377,543.1699827507639,569.7691535307785,1018230
2024-08-21,545.3080444335938,551.5919916562588,540.6199990555014,548.3004060519821,579645
2024-08-22,548.9986572265625,557.576736513327,539.6225661068155,546.554882967503,703505
2024-08-23,547.2531127929688,556.1802765954026,540.520298891616,550.6942800831893,606824
2024-08-26,551.4423217773438,561.5665024342303,547.5024278796957,553.487150818604,721988
2024-08-27,554.883544921875,559.7710929656305,548.848961519105,553.088140231429,434532
2024-08-28,561.3670043945312,574.4835466353828,558.574145841275,562.5639611687127,1004508
2024-08-29,549.8963012695312,564.4591641647036,544.7594504143892,562.4642564431527,643437
2024-08-30,553.038330078125,556.2301947516628,547.8016970742718,552.4398212069746,454599
2024-09-02,545.7069702148438,561.5665105850428,543.712062539586,556.5293808809672,580563
2024-09-03,548.4500122070312,554.5843781517997,545.6072928939468,546.1060198527164,318262
2024-09-04,548.7991333007812,552.7390882765194,540.669859880964,543.4128580327149,382311
2024-09-05,529.0994262695312,550.7940483008921,527.6531059581564,549.5970914611421,782104
2024-09-06,508.7513427734375,534.3360593211077,506.906077434806,530.2963832556213,696439
2024-09-09,483.6155090332031,511.34474454344684,476.7829440194265,510.1976482550976,1467785
2024-09-10,479.87506103515625,497.8790911410528,475.2867671634416,488.45317037099215,912952
2024-09-11,473.1921081542969,486.9569897751859,471.49645484526343,482.76767136015957,887445
2024-09-12,473.1422424316406,482.76766604898086,465.4119750517241,479.9748074296066,891215
2024-09-13,479.47607421875,481.4210909475092,467.30712516549136,477.78039051071585,855786
2024-09-16,489.10150146484375,493.4902923171321,476.9325523181627,479.4760778997409,807539
2024-09-17,488.10406494140625,491.6450140588645,480.2740458525125,491.0964265978082,376567
2024-09-18,485.7101745605469,495.6348223110511,482.5681705156352,489.69999004373483,538420
2024-09-19,470.349365234375,488.65265003188165,467.15753108029014,488.65265003188165,555197
