Price,Close,High,Low,Open,Volume
Ticker,ZG,ZG,ZG,ZG,ZG
Date,,,,,
2012-08-30,12.84066104888916,12.871843338012695,12.60679817199707,12.62862491607666,3151198
2012-08-31,12.974742889404297,13.086997032165527,12.759588241577148,12.793888092041016,1793354
2012-09-04,12.927969932556152,13.015278816223145,12.588088989257812,12.956033706665039,1789827
2012-09-05,13.230433464050293,13.38634204864502,12.790769577026367,12.884316444396973,2516212
2012-09-06,13.560959815979004,13.666977882385254,12.759588241577148,12.759588241577148,7426450
2012-09-07,13.292797088623047,13.511070251464844,13.217961311340332,13.47053337097168,15392317
2012-09-10,12.560025215148926,13.2522611618042,12.535079956054688,13.246024131774902,4983037
2012-09-11,12.619270324707031,12.893670082092285,12.120362281799316,12.535079956054688,3746738
2012-09-12,12.722169876098633,12.909260749816895,12.584970474243164,12.625507354736328,910147
2012-09-13,13.804178237915039,13.950733184814453,12.270033836364746,12.354225158691406,5735078
2012-09-14,13.320860862731934,14.187713623046875,13.314623832702637,13.860305786132812,5585632
2012-09-17,13.286561012268066,13.610851287841797,13.13065242767334,13.180542945861816,2474521
2012-09-18,13.348923683166504,13.679450988769531,13.136887550354004,13.289678573608398,2383442
2012-09-19,14.2033052444458,14.51512336730957,13.348923683166504,13.348923683166504,4835835
2012-09-20,14.396632194519043,14.611786842346191,13.620205879211426,14.00062370300293,6531697
2012-09-21,14.11911392211914,14.50888729095459,13.922669410705566,14.50888729095459,3619420
2012-09-24,13.847832679748535,14.159650802612305,13.729342460632324,13.969442367553711,3602102
2012-09-25,12.92485237121582,13.903960227966309,12.647334098815918,13.860305786132812,25425096
2012-09-26,12.588088989257812,13.03087043762207,12.429060935974121,12.753352165222168,6137877
2012-09-27,13.102587699890137,13.205488204956055,12.497660636901855,12.609915733337402,3797088
2012-09-28,13.15247917175293,13.239788055419922,12.949796676635742,13.018397331237793,2295571
2012-10-01,12.731525421142578,13.352042198181152,12.619270324707031,13.115060806274414,3060761
2012-10-02,12.195198059082031,12.759588241577148,11.431243896484375,12.65668773651123,15109139
2012-10-03,12.020580291748047,12.435297966003418,11.98628044128418,12.282506942749023,2306474
2012-10-04,11.686935424804688,12.039289474487305,11.552852630615234,12.020580291748047,4566127
2012-10-05,11.839726448059082,12.291861534118652,11.714998245239258,11.955098152160645,4788051
2012-10-08,11.792952537536621,11.898970603942871,11.661989212036133,11.814780235290527,1333791
2012-10-09,11.6962890625,12.054880142211914,11.655753135681152,11.973807334899902,1898865
2012-10-10,11.783597946166992,11.973807334899902,11.649517059326172,11.88649845123291,2324754
2012-10-11,11.792952537536621,11.92391586303711,11.630807876586914,11.849080085754395,1212567
