Date,Adj Close,Close,High,Low,Open,Volume,SMA20,SMA50,SMA150,SMA200,High252,Low252,VolSMA50,ATR20Pct,RS,RS_SMA20
2023-05-15,91.4194107055664,97.0999984741211,97.80000305175781,95.80000305175781,97.19999694824219,860194,,,,,,,,,0.5277503786141309,
2023-05-16,90.99574279785156,96.6500015258789,97.9000015258789,96.5,97.0999984741211,833345,,,,,,,,,0.528531985485899,
2023-05-17,90.52499389648438,96.1500015258789,97.5999984741211,95.6500015258789,96.6500015258789,604201,,,,,,,,,0.5288269914935521,
2023-05-18,91.32527160644531,97.0,98.75,96.69999694824219,97.69999694824219,984150,,,,,,,,,0.5350263193218576,
2023-05-19,89.44227600097656,95.0,97.0,93.5999984741211,97.0,873182,,,,,,,,,0.5218805166145019,
2023-05-22,89.06568145751953,94.5999984741211,95.0,93.5999984741211,94.94999694824219,486035,,,,,,,,,0.5165334188202312,
2023-05-23,89.91302490234375,95.5,96.8499984741211,95.30000305175781,95.3499984741211,590703,,,,,,,,,0.5204926967516896,
2023-05-24,89.8188705444336,95.4000015258789,95.8499984741211,94.69999694824219,95.75,409059,,,,,,,,,0.5217277143944351,
2023-05-25,89.25397491455078,94.80000305175781,95.94999694824219,94.5,95.5,360093,,,,,,,,,0.5174347736388176,
2023-05-26,89.53643035888672,95.0999984741211,95.4000015258789,94.3499984741211,95.4000015258789,472004,,,,,,,,,0.5140721186539814,
2023-05-29,89.39520263671875,94.94999694824219,95.8499984741211,94.75,95.3499984741211,320933,,,,,,,,,0.5105208977749457,
2023-05-30,89.67765045166016,95.25,96.0,94.5999984741211,95.3499984741211,375690,,,,,,,,,0.5111665168322392,
2023-05-31,89.30105590820312,94.8499984741211,95.25,94.5999984741211,94.80000305175781,348142,,,,,,,,,0.5117511032193831,
2023-06-01,90.24254608154297,95.8499984741211,96.4000015258789,95.1500015258789,95.5999984741211,622299,,,,,,,,,0.5184513987592925,
2023-06-02,90.94867706298828,96.5999984741211,97.4000015258789,96.25,96.25,574736,,,,,,,,,0.5212014638426701,
2023-06-05,97.25670623779297,103.30000305175781,104.5999984741211,96.69999694824219,96.69999694824219,6628777,,,,,,,,,0.555560065408263,
2023-06-06,98.52772521972656,104.6500015258789,105.9000015258789,101.94999694824219,103.69999694824219,3347136,,,,,,,,,0.5626646675943809,
2023-06-07,99.18677520751953,105.3499984741211,107.5,102.4000015258789,105.0,2662385,,,,,,,,,0.5625747408821957,
2023-06-08,97.35086059570312,103.4000015258789,106.80000305175781,102.69999694824219,105.8499984741211,989773,,,,,,,,,0.5548832528333311,
2023-06-09,96.31521606445312,102.30000305175781,104.0,101.9000015258789,104.0,626326,97.69000015258788,,,,,,,2.3130021160326675,0.5510843967111865,0.5296067708823492
2023-06-12,98.66896057128906,104.80000305175781,107.44999694824219,104.05000305175781,104.80000305175781,2264623,98.07500038146972,,,,,,,2.372228947209933,0.5633954415061033,0.5313890240269478
2023-06-13,99.09262084960938,105.25,105.80000305175781,103.6500015258789,104.80000305175781,1140901,98.50500030517578,,,,,,,2.401940428731036,0.5623485481967498,0.5330798521624904
2023-06-14,97.72745513916016,103.80000305175781,105.0,103.44999694824219,104.75,732326,98.88750038146972,,,,,,,2.3751994907846234,0.5534258600756992,0.5343097955915976
2023-06-15,97.20963287353516,103.25,107.0,102.4000015258789,104.0,1499017,99.20000038146972,,,,,,,2.492289447049196,0.5524906339230127,0.5351830113216554
2023-06-16,98.90433502197266,105.05000305175781,106.69999694824219,103.55000305175781,104.0,1978454,99.70250053405762,,,,,,,2.463270308883953,0.5580049030689356,0.5369892306443771
2023-06-19,97.96282958984375,104.05000305175781,106.5,103.80000305175781,105.05000305175781,1094841,100.17500076293945,,,,,,,2.5190196196697454,0.5547721189623015,0.5389011656514807
2023-06-20,98.52772521972656,104.6500015258789,106.0,103.4000015258789,104.0,1009981,100.6325008392334,,,,,,,2.562091554645139,0.5561549361516065,0.5406842776214764
2023-06-21,98.66896057128906,104.80000305175781,106.69999694824219,104.55000305175781,105.0,1132401,101.10250091552734,,,,,,,2.604394980641453,0.5557662346718548,0.5423862036353475
2023-06-22,98.00990295410156,104.0999984741211,105.8499984741211,103.4000015258789,105.0,813899,101.5675006866455,,,,,,,2.645593518158582,0.554571477520789,0.544243038829446
2023-06-23,95.7973861694336,101.75,104.4000015258789,101.5,104.1500015258789,861668,101.90000076293946,,,,,,,2.732894526992173,0.545123355924031,0.5457956006929485
2023-06-26,96.03276062011719,102.0,102.5999984741211,101.0999984741211,102.0,509135,102.25250091552735,,,,,,,2.7484987934448304,0.5457113736056011,0.5475551244844813
2023-06-27,96.22106170654297,102.19999694824219,105.19999694824219,101.0,102.0,1285759,102.60000076293946,,,,,,,2.880487208585226,0.5431143241186448,0.5491525148488016
2023-06-28,95.56201171875,101.5,103.30000305175781,101.30000305175781,102.80000305175781,578468,102.9325008392334,,,,,,,2.9447446667246933,0.5349961369053962,0.5503147665331023
2023-06-30,94.90296173095703,100.80000305175781,102.75,100.1500015258789,101.6500015258789,878323,103.18000106811523,,,,,,,3.0085067889403616,0.5252995794364747,0.5506571755669614
2023-07-03,95.89153289794922,101.8499984741211,102.6500015258789,100.8499984741211,100.94999694824219,756430,103.44250106811523,,,,,,,3.037348293641647,0.5271043126094571,0.5509523180053006
2023-07-04,94.85588073730469,100.75,102.44999694824219,100.4000015258789,102.0,601755,103.31500091552735,,,,,,,2.7567035632491077,0.5196245293723245,0.5491555412035038
2023-07-05,94.19683837890625,100.05000305175781,101.44999694824219,99.0,100.5,768768,103.08500099182129,,,,,,,2.6904176524934145,0.5157615436851191,0.5468103850080407
2023-07-06,94.95002746582031,100.8499984741211,102.19999694824219,100.1500015258789,100.30000305175781,722225,102.8600009918213,,,,,,,2.5500032807043596,0.5172510780112992,0.5445442018644958
2023-07-07,93.82024383544922,99.6500015258789,101.69999694824219,99.05000305175781,101.0999984741211,867782,102.6725009918213,,,,,,,2.4847088714104384,0.5154719037997221,0.5425736344128154
2023-07-10,93.11412048339844,98.9000015258789,100.30000305175781,98.69999694824219,100.0,638887,102.50250091552735,,,,,,,2.462959747849615,0.510955313521767,0.5405671802533444
2023-07-11,95.46785736083984,101.4000015258789,102.9000015258789,99.0999984741211,99.19999694824219,2366486,102.3325008392334,,,,,,,2.4881231768132417,0.5216210350540487,0.5384784599307417
2023-07-12,95.6561508178711,101.5999984741211,102.9000015258789,100.6500015258789,102.3499984741211,1091968,102.15000076293946,,,,,,,2.4967136852236957,0.5241354827324827,0.5365678066575283
2023-07-13,94.24391174316406,100.0999984741211,102.0,99.5,102.0,834676,101.96500053405762,,,,,,,2.5469258540935376,0.5156139255636911,0.5346772099319279
2023-07-14,94.71466064453125,100.5999984741211,101.80000305175781,99.5,100.0,932239,101.83250045776367,,,,,,,2.438479906148946,0.5141966238550492,0.5327625094285298
2023-07-17,94.05561065673828,99.9000015258789,101.3499984741211,99.5,100.94999694824219,814228,101.57500038146972,,,,,,,2.3811441103917335,0.5068120583992964,0.5302028671950478
2023-07-18,93.44364166259766,99.25,101.0999984741211,98.5999984741211,100.0,865298,101.33500022888184,,,,,,,2.377343530476094,0.5025507297745484,0.5275917977356601
2023-07-19,93.20825958251953,99.0,100.19999694824219,98.80000305175781,100.05000305175781,657685,101.0525001525879,,,,,,,2.323826765155517,0.4991642681578044,0.52474226433597
2023-07-20,92.50214385986328,98.25,99.5999984741211,97.80000305175781,99.0,888052,100.725,,,,,,,2.3128535439394184,0.49176265296097244,0.5215420852504259
