Date,Adj Close,Close,High,Low,Open,Volume,SMA20,SMA50,SMA150,SMA200,High252,Low252,VolSMA50,ATR20Pct,RS,RS_SMA20
2023-09-15,928.5663452148438,937.0,937.0,937.0,937.0,0,,,,,,,,,4.640371319467276,
2023-09-20,1187.266845703125,1198.050048828125,1212.699951171875,1136.800048828125,1180.0,15023430,,,,,,,,,6.019928373444983,
2023-09-21,1166.90185546875,1177.5,1232.0,1159.0,1194.9000244140625,2120327,,,,,,,,,5.9643356707696205,
2023-09-22,1170.6676025390625,1181.300048828125,1192.550048828125,1151.050048828125,1184.0,744549,,,,,,,,,6.004295202247226,
2023-09-25,1170.12255859375,1180.75,1190.0,1164.5,1183.0,470152,,,,,,,,,6.0014076719111875,
2023-09-26,1181.915283203125,1192.6500244140625,1194.949951171875,1171.4000244140625,1184.0,327002,,,,,,,,,6.064928891853522,
2023-09-27,1189.149658203125,1199.949951171875,1223.9000244140625,1184.0,1194.949951171875,467360,,,,,,,,,6.0860347512813995,
2023-09-28,1257.726806640625,1269.1500244140625,1292.949951171875,1201.050048828125,1206.949951171875,1565376,,,,,,,,,6.5006106657244285,
2023-09-29,1387.349365234375,1399.949951171875,1426.800048828125,1279.0999755859375,1285.0,2231718,,,,,,,,,7.128671501500277,
2023-10-03,1396.4666748046875,1409.1500244140625,1456.5999755859375,1356.0999755859375,1424.1500244140625,1776987,,,,,,,,,7.215771743783204,
2023-10-04,1389.7279052734375,1402.3499755859375,1414.0,1376.5999755859375,1410.0,682742,,,,,,,,,7.215182077527088,
2023-10-05,1470.593505859375,1483.949951171875,1524.949951171875,1390.449951171875,1408.050048828125,2154615,,,,,,,,,7.592187310140952,
2023-10-06,1489.2740478515625,1502.800048828125,1523.699951171875,1480.5999755859375,1484.949951171875,922131,,,,,,,,,7.646475430982395,
2023-10-09,1429.8634033203125,1442.8499755859375,1507.1500244140625,1432.0,1475.0,564296,,,,,,,,,7.3945475786919,
2023-10-10,1446.4132080078125,1459.550048828125,1487.9000244140625,1445.050048828125,1452.949951171875,371387,,,,,,,,,7.412702878813174,
2023-10-11,1445.669921875,1458.800048828125,1498.800048828125,1445.300048828125,1465.300048828125,426664,,,,,,,,,7.3634561884557375,
2023-10-12,1432.0435791015625,1445.050048828125,1472.0,1437.5,1465.75,336497,,,,,,,,,7.300444825846847,
2023-10-13,1411.6785888671875,1424.5,1455.5,1418.0,1440.0,243346,,,,,,,,,7.212274505173677,
2023-10-16,1390.81787109375,1403.449951171875,1433.949951171875,1395.050048828125,1432.1500244140625,214241,,,,,,,,,7.112648149159984,
2023-10-17,1404.295654296875,1417.050048828125,1449.699951171875,1401.0,1408.3499755859375,409703,1329.2900085449219,,,,,,,4.303469021985233,7.152664103314363,6.751446942004462
2023-10-18,1397.0118408203125,1409.699951171875,1448.0,1405.1500244140625,1419.949951171875,431257,1352.9250061035157,,,,,,,4.455451632009148,7.166350530297907,6.8777459025459935
2023-10-19,1382.2459716796875,1394.800048828125,1419.0,1390.75,1409.949951171875,163936,1362.7625061035155,,,,,,,4.239956305370245,7.107370325938514,6.932118000170671
2023-10-20,1354.9935302734375,1367.300048828125,1410.75,1362.0999755859375,1402.4000244140625,192257,1372.252508544922,,,,,,,4.107882980648177,6.996492397387645,6.983725836501572
2023-10-23,1337.8489990234375,1350.0,1376.75,1308.0,1367.300048828125,365465,1380.6875061035157,,,,,,,4.186858676964382,7.001439184721304,7.033583035625275
2023-10-25,1354.94384765625,1367.25,1390.949951171875,1320.300048828125,1360.0,254919,1390.0125061035155,,,,,,,4.337241437014343,7.150084964661299,7.09101690026278
2023-10-26,1321.69580078125,1333.699951171875,1367.0,1309.0,1367.0,301173,1397.0650024414062,,,,,,,4.45595223846437,7.072611070924313,7.141401009216321
2023-10-27,1332.49755859375,1344.5999755859375,1356.800048828125,1336.199951171875,1336.199951171875,169055,1404.2975036621094,,,,,,,4.366298274255669,7.059286645504928,7.190063603927497
2023-10-30,1333.29052734375,1345.4000244140625,1375.0,1335.0,1355.449951171875,177925,1408.1100036621094,,,,,,,4.152899995654759,7.028927568491107,7.216479449065831
2023-10-31,1344.1419677734375,1356.3499755859375,1383.25,1340.0,1352.449951171875,247849,1405.9300048828125,,,,,,,3.784816127592246,7.108901671707398,7.215490957576186
2023-11-01,1379.4710693359375,1392.0,1397.9000244140625,1326.449951171875,1364.0,296990,1405.0725036621093,,,,,,,3.6848635626772777,7.330501741074389,7.221227457440746
2023-11-02,1377.2413330078125,1389.75,1412.949951171875,1382.050048828125,1408.8499755859375,142746,1404.4425048828125,,,,,,,3.6626866007900922,7.263533377758614,7.223645022452322
2023-11-03,1378.4801025390625,1391.0,1399.0,1375.0,1394.0,118798,1399.7950073242187,,,,,,,3.295773072342866,7.233263799647108,7.20569884692763
2023-11-06,1389.8765869140625,1402.5,1432.0,1396.0,1396.050048828125,217734,1394.7800048828126,,,,,,,3.2807164156652897,7.225005473488995,7.1846253490529595
2023-11-07,1512.4136962890625,1526.1500244140625,1549.949951171875,1428.050048828125,1448.949951171875,2157504,1398.9450073242188,,,,,,,3.419664885182437,7.864037089519868,7.208099824594359
2023-11-08,1590.3558349609375,1604.800048828125,1628.75,1503.0,1533.800048828125,1460489,1406.2075073242188,,,,,,,3.664666512301941,8.253658285947104,7.250147594951055
2023-11-09,1602.049560546875,1616.5999755859375,1646.4000244140625,1590.050048828125,1610.8499755859375,884773,1414.0975036621094,,,,,,,3.6555820900462956,8.335008535411585,7.298725212298848
2023-11-10,1601.3062744140625,1615.8499755859375,1660.0,1607.0,1618.0,530222,1422.6375,,,,,,,3.7002094358043824,8.318254281539938,7.349615685083502
2023-11-13,1570.8826904296875,1585.1500244140625,1650.0,1572.699951171875,1634.800048828125,280490,1430.6700012207032,,,,,,,3.812409959913945,8.152574816440783,7.396630700646858
2023-11-15,1593.6756591796875,1608.1500244140625,1642.5,1586.0999755859375,1612.5,368892,1440.9050048828126,,,,,,,3.849180099339637,8.173384030701332,7.449667494723924
2023-11-16,1637.576904296875,1652.449951171875,1714.4000244140625,1619.0,1619.949951171875,1010491,1452.675,,,,,,,3.966006793098477,8.360401192436754,7.510054349180043
2023-11-17,1621.394287109375,1633.1500244140625,1681.0,1608.0999755859375,1657.949951171875,551006,1463.8475036621094,,,,,,,4.037212571539416,8.276740894150683,7.565573867372683
2023-11-20,1647.2071533203125,1659.1500244140625,1670.0,1621.199951171875,1640.0,351285,1477.0650024414062,,,,,,,4.0830069762102275,8.424647224606796,7.631437712306097
2023-11-21,1781.97998046875,1794.9000244140625,1809.0,1664.8499755859375,1664.8499755859375,1139202,1498.445001220703,,,,,,,4.306655999047507,9.072757913066521,7.7352509880900415
2023-11-22,1707.4205322265625,1719.800048828125,1820.0,1710.0999755859375,1796.0,549759,1516.9350036621095,,,,,,,4.371540328290447,8.680663757988112,7.819212216753381
2023-11-23,1670.7861328125,1682.9000244140625,1749.0,1673.6500244140625,1729.949951171875,391611,1532.7175048828126,,,,,,,4.337044788726259,8.49863662465439,7.886639799753037
2023-11-24,1654.9013671875,1666.9000244140625,1717.949951171875,1655.3499755859375,1696.5999755859375,330905,1549.377508544922,,,,,,,4.3073782125198585,8.42094141463456,7.954056316938548
2023-11-28,1647.5545654296875,1659.5,1683.449951171875,1651.75,1677.6500244140625,152580,1565.122509765625,,,,,,,4.3262856897375785,8.343514810096227,8.018267725168112
2023-11-29,1633.1092529296875,1644.949951171875,1666.5999755859375,1619.199951171875,1666.5999755859375,697857,1580.1000061035156,,,,,,,4.3217084233098015,8.185215325703712,8.076082113028743
2023-11-30,1617.9688720703125,1629.699951171875,1650.0,1554.550048828125,1616.0,752212,1593.7675048828125,,,,,,,4.455118339345625,8.094609733461013,8.125367516116423
2023-12-01,1638.172607421875,1650.050048828125,1656.0,1630.050048828125,1639.25,292178,1606.6700073242187,1447.606005859375,,,,,920681.66,4.277106791822531,8.141198728169014,8.165902365471156
2023-12-04,1638.867431640625,1650.75,1688.0,1635.5999755859375,1677.0,209996,1619.7200073242188,1461.881005859375,,,,,924881.58,4.3246518784532775,7.979725900856543,8.201711991626052
2023-12-05,1665.3753662109375,1677.449951171875,1684.699951171875,1647.8499755859375,1664.949951171875,263047,1634.0425048828124,1471.46900390625,,,,,629673.92,4.348222277037187,8.043356217861506,8.24221661253677
2023-12-06,1656.3905029296875,1668.4000244140625,1685.5,1651.0,1684.949951171875,144721,1647.3375061035156,1481.2870043945313,,,,,590161.8,4.323272501364215,7.968401909795261,8.279386434352086
2023-12-07,1677.09033203125,1689.25,1696.0,1648.0,1660.0,406911,1655.4925048828125,1491.4460034179688,,,,,583409.04,4.065976746843629,8.08209102575376,8.29028913116378
2023-12-08,1697.095458984375,1709.4000244140625,1744.0999755859375,1693.050048828125,1698.949951171875,355989,1660.7225036621094,1502.01900390625,,,,,581125.78,3.8235045718292673,8.15187841602901,8.285200137667875
2023-12-11,1698.832763671875,1711.1500244140625,1733.0,1695.0,1717.9000244140625,274188,1665.4500061035155,1512.38900390625,,,,,580069.5,3.760255543059109,8.149459002661732,8.275922661030382
2023-12-12,1686.96875,1699.199951171875,1745.0,1690.0,1720.0,201485,1669.6175048828125,1522.37400390625,,,,,574752.0,3.7580960402002836,8.127654304056296,8.2663926621562
2023-12-13,1654.3056640625,1666.300048828125,1719.0999755859375,1660.0,1701.0999755859375,167605,1673.6750061035157,1530.3170043945313,,,,,546796.58,3.6916093205938734,7.962688571740305,8.256898349921176
2023-12-14,1691.6348876953125,1703.9000244140625,1720.0,1667.4000244140625,1680.5,254311,1678.4625061035156,1536.396005859375,,,,,507248.44,3.6706041782831456,8.04382863023351,8.250420579897785
2023-12-15,1693.4219970703125,1705.699951171875,1729.449951171875,1699.5,1713.699951171875,318062,1681.1250061035157,1542.3270043945313,,,,,478069.94,3.4697355335545312,7.949516444175006,8.229876342484697
2023-12-18,1711.4910888671875,1723.9000244140625,1737.9000244140625,1686.0999755859375,1709.0,484734,1685.6625061035156,1548.7580053710938,,,,,474109.78,3.39678801780424,8.04859313250016,8.218468954402173
