Price,Close,High,Low,Open,Volume
Ticker,IONS,IONS,IONS,IONS,IONS
Date,,,,,
2014-01-02,39.869998931884766,40.029998779296875,38.599998474121094,39.790000915527344,1038300
2014-01-03,38.97999954223633,39.95000076293945,38.560001373291016,39.58000183105469,784400
2014-01-06,38.560001373291016,39.33000183105469,38.040000915527344,39.290000915527344,1043700
2014-01-07,39.150001525878906,39.5,38.54999923706055,38.880001068115234,812600
2014-01-08,42.130001068115234,42.2400016784668,38.810001373291016,39.099998474121094,1890200
2014-01-09,46.150001525878906,46.5099983215332,42.400001525878906,42.47999954223633,2187600
2014-01-10,47.599998474121094,47.650001525878906,44.40999984741211,46.0099983215332,2118100
2014-01-13,47.220001220703125,50.150001525878906,46.56999969482422,48.36000061035156,2165800
2014-01-14,48.709999084472656,49.18000030517578,47.0,47.119998931884766,1081300
2014-01-15,47.65999984741211,49.150001525878906,46.380001068115234,49.0,1164800
2014-01-16,47.709999084472656,48.08000183105469,46.470001220703125,47.5,1289300
2014-01-17,47.13999938964844,48.029998779296875,46.86000061035156,47.77000045776367,1089000
2014-01-21,48.0,48.0,46.54999923706055,47.66999816894531,987300
2014-01-22,50.95000076293945,51.720001220703125,48.75,49.0,2180000
2014-01-23,50.16999816894531,50.599998474121094,49.349998474121094,50.47999954223633,1002000
2014-01-24,48.41999816894531,49.97999954223633,48.13999938964844,49.2599983215332,1129900
2014-01-27,47.040000915527344,48.599998474121094,45.220001220703125,48.5,1578300
2014-01-28,49.93000030517578,50.880001068115234,48.11000061035156,48.619998931884766,1681900
2014-01-29,48.86000061035156,50.04999923706055,48.18000030517578,49.5,1050400
2014-01-30,49.959999084472656,51.63999938964844,49.15999984741211,49.2599983215332,1590600
2014-01-31,51.060001373291016,51.189998626708984,48.7599983215332,48.959999084472656,1076500
2014-02-03,49.09000015258789,51.369998931884766,48.5099983215332,50.630001068115234,1847500
2014-02-04,49.88999938964844,50.720001220703125,48.810001373291016,49.22999954223633,1038300
2014-02-05,46.83000183105469,50.25,46.209999084472656,49.84000015258789,2050500
2014-02-06,46.4900016784668,47.66999816894531,45.2599983215332,47.11000061035156,1228300
2014-02-07,49.09000015258789,49.349998474121094,46.81999969482422,46.81999969482422,1165300
2014-02-10,49.40999984741211,49.70000076293945,48.02000045776367,48.310001373291016,933400
2014-02-11,50.349998474121094,50.86000061035156,49.0099983215332,49.810001373291016,891000
2014-02-12,50.86000061035156,51.41999816894531,49.27000045776367,49.27000045776367,1521900
2014-02-13,52.029998779296875,52.20000076293945,49.83000183105469,50.25,1055300
2014-02-14,52.15999984741211,54.900001525878906,51.81999969482422,52.06999969482422,2098500
2014-02-18,51.38999938964844,52.650001525878906,50.709999084472656,52.0,1333200
2014-02-19,51.099998474121094,52.459999084472656,50.5099983215332,51.43000030517578,810800
2014-02-20,51.06999969482422,52.52000045776367,50.72999954223633,51.31999969482422,1309100
2014-02-21,59.0,61.29999923706055,54.54999923706055,55.0,6798100
2014-02-24,58.349998474121094,62.65999984741211,58.29999923706055,59.439998626708984,3121200
2014-02-25,57.959999084472656,59.369998931884766,56.75,59.09000015258789,1070300
2014-02-26,56.040000915527344,58.900001525878906,55.7400016784668,58.08000183105469,1361300
2014-02-27,56.369998931884766,56.970001220703125,55.04999923706055,56.029998779296875,2099500
2014-02-28,51.0,58.310001373291016,48.5099983215332,57.029998779296875,3847400
2014-03-03,50.880001068115234,53.040000915527344,48.52000045776367,49.5099983215332,1917100
2014-03-04,55.40999984741211,55.970001220703125,53.099998474121094,53.25,3045000
2014-03-05,55.88999938964844,56.849998474121094,55.20000076293945,56.279998779296875,2361300
2014-03-06,52.2599983215332,56.369998931884766,51.5099983215332,56.0099983215332,2410600
2014-03-07,51.220001220703125,53.31999969482422,50.0,53.18000030517578,2465200
2014-03-10,49.5099983215332,51.34000015258789,48.75,50.88999938964844,2390000
2014-03-11,49.150001525878906,51.369998931884766,48.97999954223633,50.0,1664700
2014-03-12,49.099998474121094,50.61000061035156,48.75,48.84000015258789,1422500
