Date,Adj Close,Close,High,Low,Open,Volume,SMA20,SMA50,SMA150,SMA200,High252,Low252,VolSMA50,ATR20Pct,RS,RS_SMA20
2024-07-10,1356.3453369140625,1359.1500244140625,1385.0,1325.050048828125,1325.050048828125,14007550,,,,,,,,,5.587588077292988,
2024-07-11,1359.1395263671875,1361.949951171875,1370.0,1341.1500244140625,1354.3499755859375,1200703,,,,,,,,,5.60105607607404,
2024-07-12,1359.638427734375,1362.449951171875,1373.3499755859375,1345.0,1362.0,882782,,,,,,,,,5.560532155141677,
2024-07-15,1371.9130859375,1374.75,1408.699951171875,1340.0,1360.0,1037827,,,,,,,,,5.591437824852901,
2024-07-16,1359.5386962890625,1362.3499755859375,1399.0,1360.0,1380.0,421306,,,,,,,,,5.535082986982235,
2024-07-18,1365.676025390625,1368.5,1379.0,1349.5,1360.050048828125,309066,,,,,,,,,5.517956124707484,
2024-07-19,1348.6611328125,1351.449951171875,1365.050048828125,1341.0999755859375,1365.050048828125,289152,,,,,,,,,5.509173856856718,
2024-07-22,1320.7188720703125,1323.449951171875,1341.0,1305.199951171875,1341.0,260396,,,,,,,,,5.399797836212349,
2024-07-23,1280.502197265625,1283.1500244140625,1323.4000244140625,1261.050048828125,1320.0,321841,,,,,,,,,5.241829170095539,
2024-07-24,1305.7998046875,1308.5,1313.699951171875,1285.25,1294.949951171875,115886,,,,,,,,,5.359739488397812,
2024-07-25,1303.2550048828125,1305.949951171875,1315.050048828125,1270.050048828125,1270.050048828125,77559,,,,,,,,,5.35091625484568,
2024-07-26,1294.6728515625,1297.3499755859375,1315.0,1285.699951171875,1310.949951171875,103355,,,,,,,,,5.223909127664683,
2024-07-29,1293.225830078125,1295.9000244140625,1310.0,1282.5,1310.0,102054,,,,,,,,,5.217808129280062,
2024-07-30,1299.1136474609375,1301.800048828125,1305.0,1285.0,1285.0,177736,,,,,,,,,5.237093360555383,
2024-07-31,1303.40478515625,1306.0999755859375,1310.0,1299.949951171875,1302.25,100240,,,,,,,,,5.234628284220049,
2024-08-01,1315.5296630859375,1318.25,1330.0,1302.8499755859375,1311.0,161028,,,,,,,,,5.270701891620536,
2024-08-02,1295.6209716796875,1298.300048828125,1309.6500244140625,1281.050048828125,1290.0,95697,,,,,,,,,5.25251172181624,
2024-08-05,1247.4205322265625,1250.0,1279.949951171875,1231.6500244140625,1261.0,214960,,,,,,,,,5.196295333718671,
2024-08-06,1292.128173828125,1294.800048828125,1309.25,1235.0,1251.0,186401,,,,,,,,,5.396675245718357,
2024-08-07,1302.35693359375,1305.050048828125,1311.949951171875,1288.0,1300.0,160161,1321.4599975585938,,,,,,,2.798216617376694,5.371128917905649,5.382793093197952
2024-08-08,1286.98876953125,1289.6500244140625,1321.949951171875,1280.5,1300.0,102065,1317.9849975585937,,,,,,,2.7383768741309744,5.3474728383051895,5.370787331248563
2024-08-09,1284.0947265625,1286.75,1308.0,1272.0,1295.0,82452,1314.225,,,,,,,2.772349958925687,5.280599158715503,5.354764485380636
2024-08-12,1271.2213134765625,1273.8499755859375,1314.9000244140625,1267.25,1280.0,155206,1309.7950012207032,,,,,,,2.855341069079833,5.2320613446664375,5.338340944856873
2024-08-13,1234.14794921875,1236.699951171875,1289.699951171875,1225.0,1286.5,227263,1302.8924987792968,,,,,,,2.867060693752821,5.123244339748436,5.31493127060165
2024-08-14,1240.834228515625,1243.4000244140625,1269.699951171875,1226.5999755859375,1263.0,279561,1296.945001220703,,,,,,,2.897240669318568,5.149987157811287,5.295676479143102
2024-08-16,1256.1025390625,1258.699951171875,1279.9000244140625,1247.0,1250.949951171875,157716,1291.4549987792968,,,,,,,2.9201489228893567,5.128936219928438,5.276225483904151
2024-08-19,1322.2657470703125,1325.0,1367.4000244140625,1259.6500244140625,1264.949951171875,411065,1290.132501220703,,,,,,,3.2381438907193036,5.392173733548565,5.270375477738743
2024-08-20,1329.35107421875,1332.0999755859375,1357.1500244140625,1305.5,1328.949951171875,195390,1290.5650024414062,,,,,,,3.296758063663715,5.393368503609614,5.2700540111086065
2024-08-21,1360.686279296875,1363.5,1389.6500244140625,1328.0,1339.0,388054,1294.582501220703,,,,,,,3.279874074173224,5.504598440887338,5.283192474648197
2024-08-22,1356.5948486328125,1359.4000244140625,1377.449951171875,1351.1500244140625,1369.75,87048,1297.1275024414062,,,,,,,3.2678955768420117,5.478911087254146,5.289151054591014
2024-08-23,1382.3414306640625,1385.199951171875,1414.0,1357.050048828125,1368.9000244140625,366974,1301.0900024414063,,,,,,,3.301173012199468,5.580274579873736,5.300618970842416
2024-08-26,1414.325439453125,1417.25,1455.199951171875,1391.0,1421.25,649487,1307.0850036621093,,,,,,,3.414745126428107,5.666597451221268,5.322753387020245
2024-08-28,1380.245849609375,1383.0999755859375,1409.1500244140625,1372.0,1390.0,183453,1311.445001220703,,,,,,,3.442941114422646,5.520839351005859,5.3379049481065355
