Date,Adj Close,Close,High,Low,Open,Volume,SMA20,SMA50,SMA150,SMA200,High252,Low252,VolSMA50,ATR20Pct,RS,RS_SMA20
2023-05-15,362.998779296875,366.54998779296875,369.3999938964844,359.20001220703125,364.04998779296875,258178,,,,,,,,,1.99224405642294,
2023-05-16,371.4164123535156,375.04998779296875,377.3500061035156,368.0,368.0,712889,,,,,,,,,2.05096649327629,
2023-05-17,367.5542297363281,371.1499938964844,379.3999938964844,366.0,376.5,409309,,,,,,,,,2.0413326214279945,
2023-05-18,355.0762939453125,358.54998779296875,373.25,355.1000061035156,371.20001220703125,402270,,,,,,,,,1.977666806822361,
2023-05-19,364.28619384765625,367.8500061035156,375.5,359.1000061035156,367.0,924972,,,,,,,,,2.0207763286521097,
2023-05-22,354.43255615234375,357.8999938964844,367.0,356.0,366.5,263234,,,,,,,,,1.954199898783968,
2023-05-23,365.37554931640625,368.95001220703125,371.8999938964844,358.1000061035156,358.1000061035156,513838,,,,,,,,,2.0108459352901202,
2023-05-24,373.9417419433594,377.6000061035156,379.8500061035156,367.25,369.8999938964844,827212,,,,,,,,,2.0650354820620316,
2023-05-25,359.97833251953125,363.5,390.6499938964844,346.1499938964844,381.3500061035156,3885914,,,,,,,,,1.984045719017755,
2023-05-26,374.4368896484375,378.1000061035156,384.3999938964844,360.29998779296875,365.0,2033920,,,,,,,,,2.043855671076696,
2023-05-29,363.3949279785156,366.95001220703125,377.79998779296875,365.0,376.95001220703125,526004,,,,,,,,,1.972992687641461,
2023-05-30,353.7393493652344,357.20001220703125,368.70001220703125,355.6499938964844,368.0,423477,,,,,,,,,1.9169415858509342,
2023-05-31,355.81903076171875,359.29998779296875,364.0,352.20001220703125,358.8999938964844,411277,,,,,,,,,1.9385573863760301,
2023-06-01,356.01708984375,359.5,364.54998779296875,356.3999938964844,361.1000061035156,200665,,,,,,,,,1.9445308379873159,
2023-06-02,356.01708984375,359.5,361.8500061035156,353.20001220703125,360.8999938964844,392248,,,,,,,,,1.939668004256091,
2023-06-05,354.48211669921875,357.95001220703125,363.6000061035156,356.54998779296875,361.25,153316,,,,,,,,,1.9250989963184022,
2023-06-06,357.55206298828125,361.04998779296875,364.0,356.6499938964844,356.70001220703125,190575,,,,,,,,,1.9412333340124135,
2023-06-07,394.8868103027344,398.75,408.5,362.95001220703125,363.45001220703125,7280606,,,,,,,,,2.1293467600939806,
2023-06-08,387.0633544921875,390.8500061035156,406.3999938964844,385.6000061035156,403.0,1423096,,,,,,,,,2.097447964760101,
2023-06-09,389.9352722167969,393.75,411.5,388.1499938964844,392.70001220703125,2055279,369.5,,,,,,,4.447628263783292,2.1211092349161094,2.0033947902522553
2023-06-12,404.8394470214844,408.79998779296875,410.1000061035156,395.25,398.3500061035156,2114199,371.6125,,,,,,,4.49012256813114,2.1976721651101725,2.013666195686617
2023-06-13,403.15594482421875,407.1000061035156,413.75,402.0,407.0,694856,373.21500091552736,,,,,,,4.509785870382698,2.1751268161824227,2.0198742118319233
2023-06-14,396.66937255859375,400.54998779296875,406.5,397.0,405.8999938964844,482528,374.68500061035155,,,,,,,4.4478528908172486,2.135594556650454,2.0245873085930466
2023-06-15,398.3034362792969,402.20001220703125,406.0,396.45001220703125,399.0,510180,376.8675018310547,,,,,,,4.313472065732698,2.1521718131535703,2.033312558909607
2023-06-16,398.6995544433594,402.6000061035156,410.79998779296875,399.04998779296875,403.75,628123,378.60500183105466,,,,,,,4.236481678231165,2.1385318501195982,2.0392003349829815
