Date,Close,High,Low,Open,Volume
2026-03-05,1383.005615234375,1392.5614090361375,1346.8726294272453,1346.8726294272453,25957532
2026-03-06,1398.334716796875,1417.7449716586152,1383.9014503612218,1390.0728674061675,19311971
2026-03-09,1417.4462890625,1422.8214608086796,1363.6948146177142,1368.6718029922313,24870822
2026-03-10,1402.3162841796875,1424.9117626543534,1394.1539503917586,1424.015880450879,18071259
2026-03-11,1383.8017578125,1427.4002232775151,1377.2321576556008,1418.34212900751,21848087
2026-03-12,1385.7926025390625,1404.4066120742223,1374.7437125844203,1383.6027762448114,20939959
2026-03-13,1374.3455810546875,1394.3531723993444,1372.0562392077015,1378.8248707870416,17265090
2026-03-16,1388.6793212890625,1390.8692691567512,1357.224777946389,1373.6488401657623,22837802
2026-03-17,1391.167724609375,1399.429573667814,1381.8109624429321,1392.5613056143347,19007744
2026-03-18,1401.6195068359375,1406.3974645008152,1390.7696473738063,1390.7696473738063,9559327
2026-03-19,1378.4267578125,1409.1844489610974,1369.7667250791762,1381.6119817895922,16498373
2026-03-20,1407.8905029296875,1423.4186824363833,1389.6746767818195,1391.5659566755692,22994918
2026-03-23,1401.3209228515625,1409.0849519631759,1384.598192981382,1393.5567722314413,18979554
2026-03-24,1405.302490234375,1415.8536813182018,1400.1263494042955,1413.4647025895886,18620893
2026-03-25,1406.596435546875,1423.9163794589117,1401.9181150601291,1413.464703831985,19041331
2026-03-27,1341.8956298828125,1398.235116023098,1338.809921280448,1394.552193095842,23266517
2026-03-30,1337.7149658203125,1358.7178325566667,1327.960019957529,1328.855902170806,24393861
2026-04-01,1362.8984375,1378.028554948465,1356.6275051009459,1377.8294025098971,14404619
2026-04-02,1344.2845458984375,1351.9490593116357,1321.8880984473344,1350.7546307176451,21280051
2026-04-06,1298.6953125,1352.7454554606609,1284.0630151171836,1352.7454554606609,29274881
2026-04-07,1298.5958251953125,1302.2788696189978,1285.058440671965,1289.040031502862,28388922
2026-04-08,1341.5970458984375,1344.3840865060406,1320.0963587364665,1342.7914745147666,21817543
2026-04-09,1323.87890625,1343.7868597274437,1320.195983460075,1339.8052690319548,20725390
2026-04-10,1343.9859619140625,1346.0763943468285,1325.3720730291864,1330.8467605257397,19364461
2026-04-13,1309.0474853515625,1321.4899565481755,1303.970981405046,1315.1193869938081,28753269
2026-04-15,1337.9140625,1340.8007402141902,1328.059600686701,1330.8467629297493,15313779
2026-04-16,1337.1177978515625,1347.5694738488123,1323.8789596516422,1345.7777093601655,30211012
2026-04-17,1358.7178955078125,1362.1022720767137,1333.832952366644,1333.832952366644,13869105
2026-04-20,1357.0257568359375,1366.6810660920328,1346.5740808024586,1356.9261198573818,13614733
2026-04-21,1347.07177734375,1363.4958396538184,1343.8864317482064,1352.7454957201878,27293629
2026-04-22,1355.8311767578125,1359.7132520720183,1342.8910067161314,1344.085556855853,9525953
2026-04-23,1337.21728515625,1349.261572940554,1334.529638479888,1339.8052948565,16385079
2026-04-24,1321.6890869140625,1339.7057606040942,1318.9019248091768,1333.8328899956957,11744802
