Date,Adj Close,Close,High,Low,Open,Volume,SMA50,SMA150,SMA200,VolumeSMA50
2006-01-03,30.895000457763672,30.895000457763672,31.200000762939453,28.350000381469727,28.854999542236328,7731800,,,,
2006-01-04,31.864999771118164,31.864999771118164,32.0,30.645000457763672,31.024999618530273,2860200,,,,
2006-01-05,32.1150016784668,32.1150016784668,32.25,31.84000015258789,32.04999923706055,3078200,,,,
2006-01-06,32.09000015258789,32.09000015258789,32.2400016784668,31.610000610351562,32.2400016784668,2918400,,,,
2006-01-09,31.80500030517578,31.80500030517578,32.20000076293945,31.524999618530273,32.0,2050600,,,,
2006-01-10,31.774999618530273,31.774999618530273,32.40999984741211,31.020000457763672,31.725000381469727,2842000,,,,
2006-01-11,29.1200008392334,29.1200008392334,29.809999465942383,28.280000686645508,29.75,8586000,,,,
2006-01-12,29.3700008392334,29.3700008392334,30.014999389648438,28.774999618530273,29.104999542236328,2040400,,,,
2006-01-13,29.155000686645508,29.155000686645508,29.68000030517578,29.059999465942383,29.2450008392334,1122200,,,,
2006-01-17,28.934999465942383,28.934999465942383,29.209999084472656,28.764999389648438,29.045000076293945,977800,,,,
2006-01-18,29.09000015258789,29.09000015258789,29.420000076293945,28.100000381469727,28.100000381469727,2267400,,,,
2006-01-19,29.7549991607666,29.7549991607666,29.959999084472656,29.270000457763672,29.364999771118164,6337200,,,,
2006-01-20,30.795000076293945,30.795000076293945,31.850000381469727,30.399999618530273,30.415000915527344,8899800,,,,
2006-01-23,30.469999313354492,30.469999313354492,31.235000610351562,29.524999618530273,30.735000610351562,2458800,,,,
2006-01-24,30.434999465942383,30.434999465942383,30.959999084472656,29.989999771118164,30.684999465942383,2871800,,,,
2006-01-25,31.079999923706055,31.079999923706055,31.5,30.450000762939453,30.69499969482422,2333400,,,,
2006-01-26,31.834999084472656,31.834999084472656,32.220001220703125,31.100000381469727,31.299999237060547,2075400,,,,
2006-01-27,31.7450008392334,31.7450008392334,32.900001525878906,31.34000015258789,32.040000915527344,1685600,,,,
2006-01-30,31.5,31.5,31.84000015258789,31.415000915527344,31.84000015258789,1045800,,,,
2006-01-31,32.30500030517578,32.30500030517578,32.38999938964844,31.28499984741211,31.46500015258789,1968800,,,,
2006-02-01,32.5,32.5,32.89500045776367,31.799999237060547,31.834999084472656,2021200,,,,
2006-02-02,31.725000381469727,31.725000381469727,32.625,31.635000228881836,32.435001373291016,1618600,,,,
2006-02-03,31.514999389648438,31.514999389648438,31.969999313354492,31.3799991607666,31.719999313354492,1142400,,,,
2006-02-06,31.844999313354492,31.844999313354492,32.56999969482422,31.625,32.040000915527344,2580800,,,,
2006-02-07,31.295000076293945,31.295000076293945,32.20000076293945,30.905000686645508,31.954999923706055,1129000,,,,
2006-02-08,31.670000076293945,31.670000076293945,31.795000076293945,30.795000076293945,31.44499969482422,1351200,,,,
2006-02-09,30.440000534057617,30.440000534057617,31.799999237060547,30.2549991607666,31.729999542236328,1484000,,,,
2006-02-10,30.719999313354492,30.719999313354492,30.954999923706055,29.299999237060547,30.315000534057617,2016800,,,,
2006-02-13,30.25,30.25,30.579999923706055,30.084999084472656,30.510000228881836,695800,,,,
2006-02-14,30.06999969482422,30.06999969482422,30.399999618530273,29.875,30.395000457763672,854000,,,,
2006-02-15,30.625,30.625,30.950000762939453,29.96500015258789,29.989999771118164,1477400,,,,
2006-02-16,30.80500030517578,30.80500030517578,30.905000686645508,30.424999237060547,30.815000534057617,912600,,,,
2006-02-17,31.575000762939453,31.575000762939453,32.04499816894531,30.75,30.84000015258789,1758400,,,,
2006-02-21,31.3799991607666,31.3799991607666,32.494998931884766,31.354999542236328,31.80500030517578,1555200,,,,
2006-02-22,31.8799991607666,31.8799991607666,32.2400016784668,31.030000686645508,31.68000030517578,1023200,,,,
2006-02-23,32.20000076293945,32.20000076293945,32.47999954223633,31.604999542236328,31.959999084472656,1611400,,,,
2006-02-24,33.58000183105469,33.58000183105469,33.83000183105469,31.975000381469727,32.20500183105469,3909400,,,,
2006-02-27,34.40999984741211,34.40999984741211,34.67499923706055,33.150001525878906,33.84000015258789,2969400,,,,
