Date,Adj Close,Close,High,Low,Open,Volume,SMA50,SMA150,SMA200,VolumeSMA50
2008-01-02,39.29999923706055,39.29999923706055,40.70000076293945,38.95000076293945,39.5,99560,,,,
2008-01-03,38.150001525878906,38.150001525878906,40.25,38.04999923706055,40.0,96560,,,,
2008-01-04,36.400001525878906,36.400001525878906,38.25,36.29999923706055,38.04999923706055,61300,,,,
2008-01-07,40.45000076293945,40.45000076293945,43.099998474121094,37.0,37.20000076293945,261540,,,,
2008-01-08,40.150001525878906,40.150001525878906,41.5,40.0,40.45000076293945,90120,,,,
2008-01-09,38.45000076293945,38.45000076293945,40.54999923706055,37.75,40.0,92360,,,,
2008-01-10,39.650001525878906,39.650001525878906,40.95000076293945,38.0,38.099998474121094,90540,,,,
2008-01-11,38.150001525878906,38.150001525878906,40.45000076293945,38.0,39.25,61540,,,,
2008-01-14,39.75,39.75,40.099998474121094,38.150001525878906,38.650001525878906,51620,,,,
2008-01-15,38.54999923706055,38.54999923706055,39.5,37.599998474121094,38.45000076293945,95620,,,,
2008-01-16,39.79999923706055,39.79999923706055,40.849998474121094,38.349998474121094,38.349998474121094,87080,,,,
2008-01-17,37.400001525878906,37.400001525878906,41.5,37.20000076293945,40.0,151900,,,,
2008-01-18,36.5,36.5,37.45000076293945,35.0,37.099998474121094,119520,,,,
2008-01-22,36.099998474121094,36.099998474121094,37.400001525878906,33.5,35.0,85380,,,,
2008-01-23,36.54999923706055,36.54999923706055,36.54999923706055,31.399999618530273,35.29999923706055,133240,,,,
2008-01-24,36.0,36.0,37.5,35.099998474121094,36.849998474121094,72680,,,,
2008-01-25,36.349998474121094,36.349998474121094,37.150001525878906,36.0,36.900001525878906,56400,,,,
2008-01-28,36.79999923706055,36.79999923706055,37.5,36.20000076293945,36.25,69880,,,,
2008-01-29,37.70000076293945,37.70000076293945,39.0,36.25,36.95000076293945,55060,,,,
2008-01-30,38.20000076293945,38.20000076293945,38.849998474121094,37.04999923706055,37.25,74460,,,,
2008-01-31,39.5,39.5,39.5,36.5,37.5,156780,,,,
2008-02-01,39.54999923706055,39.54999923706055,40.0,37.04999923706055,40.0,73420,,,,
2008-02-04,39.54999923706055,39.54999923706055,39.95000076293945,37.45000076293945,39.349998474121094,122380,,,,
2008-02-05,37.349998474121094,37.349998474121094,39.79999923706055,36.849998474121094,38.650001525878906,89540,,,,
2008-02-06,37.20000076293945,37.20000076293945,38.400001525878906,36.650001525878906,38.0,73900,,,,
2008-02-07,37.20000076293945,37.20000076293945,38.5,36.5,37.54999923706055,84820,,,,
2008-02-08,37.25,37.25,37.650001525878906,36.45000076293945,37.04999923706055,64420,,,,
2008-02-11,36.70000076293945,36.70000076293945,38.349998474121094,36.400001525878906,37.349998474121094,60500,,,,
2008-02-12,36.5,36.5,37.70000076293945,36.400001525878906,36.75,67220,,,,
2008-02-13,37.650001525878906,37.650001525878906,37.70000076293945,36.45000076293945,36.900001525878906,52460,,,,
2008-02-14,38.95000076293945,38.95000076293945,39.599998474121094,36.79999923706055,37.79999923706055,86620,,,,
2008-02-15,36.25,36.25,38.79999923706055,36.25,38.75,59360,,,,
2008-02-19,36.0,36.0,37.5,36.0,37.04999923706055,43620,,,,
2008-02-20,36.0,36.0,37.150001525878906,34.75,36.099998474121094,67260,,,,
2008-02-21,35.25,35.25,36.5,34.0,35.900001525878906,77260,,,,
2008-02-22,33.599998474121094,33.599998474121094,35.599998474121094,32.95000076293945,35.349998474121094,93820,,,,
2008-02-25,35.04999923706055,35.04999923706055,35.650001525878906,33.45000076293945,33.70000076293945,80320,,,,
2008-02-26,35.5,35.5,36.5,34.20000076293945,35.5,98840,,,,
2008-02-27,34.54999923706055,34.54999923706055,35.099998474121094,34.0,34.849998474121094,55140,,,,
2008-02-28,35.45000076293945,35.45000076293945,35.650001525878906,34.04999923706055,34.29999923706055,96120,,,,
2008-02-29,35.349998474121094,35.349998474121094,35.54999923706055,34.400001525878906,34.70000076293945,122240,,,,
2008-03-03,32.849998474121094,32.849998474121094,35.650001525878906,32.70000076293945,35.650001525878906,80460,,,,
2008-03-04,34.849998474121094,34.849998474121094,36.0,32.5,33.79999923706055,180580,,,,
