Date,Open,High,Low,Close,Volume,Symbol
2024-10-03,42901.75,43382.19921875,42447.94921875,42550.5,1566400,NIFTY ENERGY
2024-10-04,42438.80078125,42783.44921875,41966.75,42080.6484375,1470800,NIFTY ENERGY
2024-10-07,42223.0,42289.3984375,40736.05078125,41039.3515625,1293300,NIFTY ENERGY
2024-10-08,40972.19921875,41797.0,40704.6484375,41712.75,1132600,NIFTY ENERGY
2024-10-09,41869.3984375,41947.80078125,41331.69921875,41377.80078125,1022100,NIFTY ENERGY
2024-10-10,41548.55078125,41968.1484375,41395.75,41509.19921875,984800,NIFTY ENERGY
2024-10-11,41546.25,41683.94921875,41398.19921875,41515.80078125,524900,NIFTY ENERGY
2024-10-14,41675.8984375,41760.8515625,41346.44921875,41534.94921875,716400,NIFTY ENERGY
2024-10-15,41542.30078125,41606.3515625,41135.05078125,41283.6015625,1110200,NIFTY ENERGY
2024-10-16,41259.1015625,41550.19921875,41053.05078125,41304.6484375,1136900,NIFTY ENERGY
2024-10-17,41410.5,41508.8515625,40944.3984375,40983.0,912800,NIFTY ENERGY
2024-10-18,40925.5,41294.1015625,40538.75,41205.55078125,768100,NIFTY ENERGY
2024-10-21,41307.30078125,41416.80078125,40804.19921875,40984.69921875,842000,NIFTY ENERGY
2024-10-22,41017.55078125,41153.55078125,39908.25,40009.3515625,897800,NIFTY ENERGY
2024-10-23,39859.05078125,40056.25,39345.8515625,39812.3984375,1149400,NIFTY ENERGY
2024-10-24,39768.1015625,40125.6484375,39742.5,39942.5,677800,NIFTY ENERGY
2024-10-25,39915.1484375,39950.3515625,38880.05078125,39063.75,1172000,NIFTY ENERGY
2024-10-28,39051.8515625,39481.80078125,38515.69921875,39123.5,1153400,NIFTY ENERGY
2024-10-29,39025.3984375,39419.55078125,38739.69921875,39359.80078125,1213800,NIFTY ENERGY
2024-10-30,39297.0,39633.0,39000.5,39296.1484375,935900,NIFTY ENERGY
2024-10-31,39381.75,39506.6015625,39052.0,39301.94921875,1189600,NIFTY ENERGY
2024-11-01,39535.44921875,39702.8515625,39524.8515625,39635.6484375,208800,NIFTY ENERGY
2024-11-04,39744.69921875,39773.3515625,38142.94921875,38604.75,1488300,NIFTY ENERGY
2024-11-05,38427.25,38967.6484375,38338.3515625,38924.8984375,918100,NIFTY ENERGY
2024-11-06,39128.3515625,39634.80078125,38853.5,39562.8515625,1163700,NIFTY ENERGY
2024-11-07,39632.0,39632.0,38958.0,38990.55078125,788300,NIFTY ENERGY
2024-11-08,38897.6015625,38952.8515625,38260.3984375,38403.6484375,965500,NIFTY ENERGY
2024-11-11,38258.19921875,38622.1015625,38049.94921875,38247.44921875,926900,NIFTY ENERGY
2024-11-12,38371.5,38551.55078125,37613.30078125,37705.6484375,940600,NIFTY ENERGY
2024-11-13,37678.44921875,37909.05078125,37049.55078125,37114.6484375,1189800,NIFTY ENERGY
2024-11-14,37127.6484375,37378.6015625,36965.05078125,37047.55078125,1046500,NIFTY ENERGY
2024-11-18,37285.25,37382.30078125,36523.8515625,36757.19921875,970300,NIFTY ENERGY
2024-11-19,36916.3984375,37396.55078125,36467.3515625,36584.19921875,1045600,NIFTY ENERGY
2024-11-21,36059.0,36104.94921875,35440.8515625,35789.30078125,1841500,NIFTY ENERGY
2024-11-22,35826.6484375,36608.3984375,35648.94921875,36523.5,1710400,NIFTY ENERGY
2024-11-25,37230.8515625,37574.80078125,36837.3984375,37006.0,2418700,NIFTY ENERGY
2024-11-26,37129.80078125,37161.8515625,36580.30078125,36722.19921875,932300,NIFTY ENERGY
2024-11-27,36809.0,37343.69921875,36608.30078125,37256.0,1580800,NIFTY ENERGY
2024-11-28,37338.19921875,37628.25,36903.5,36979.19921875,1797100,NIFTY ENERGY
2024-11-29,37144.55078125,37666.80078125,37047.1015625,37481.94921875,1602600,NIFTY ENERGY
2024-12-02,37462.8515625,37654.3984375,37262.6484375,37594.3984375,1217700,NIFTY ENERGY
