Date,Symbol,Open,High,Low,Close,Volume
2023-12-01,POLYCAB,5344.0,5344.0,5226.10009765625,5234.5498046875,433155
2023-12-04,POLYCAB,5300.0,5355.7001953125,5268.0498046875,5341.60009765625,487407
2023-12-05,POLYCAB,5350.0,5390.0,5270.0,5360.14990234375,325063
2023-12-06,POLYCAB,5378.0,5418.0,5300.0498046875,5318.9501953125,393732
2023-12-07,POLYCAB,5330.0,5443.0,5290.5498046875,5419.9501953125,338949
2023-12-08,POLYCAB,5432.0,5520.7998046875,5392.5,5446.64990234375,419779
2023-12-11,POLYCAB,5464.9501953125,5710.35009765625,5446.0,5691.9501953125,973960
2023-12-12,POLYCAB,5700.0,5733.0,5580.0498046875,5609.89990234375,524434
2023-12-13,POLYCAB,5639.0,5703.10009765625,5606.25,5678.14990234375,320345
2023-12-14,POLYCAB,5714.89990234375,5719.10009765625,5630.0,5653.4501953125,351256
2023-12-15,POLYCAB,5688.14990234375,5700.0,5621.25,5670.0,267973
2023-12-18,POLYCAB,5686.0,5713.4501953125,5637.0,5678.75,310923
2023-12-19,POLYCAB,5692.5498046875,5698.9501953125,5573.0498046875,5610.89990234375,306765
2023-12-20,POLYCAB,5644.89990234375,5684.0,5461.0,5498.0,345075
2023-12-21,POLYCAB,5489.0,5627.0,5415.25,5619.2998046875,242120
2023-12-22,POLYCAB,5633.0,5633.0,5305.64990234375,5359.2998046875,1898658
2023-12-26,POLYCAB,5359.2998046875,5449.0,5309.0,5394.75,682407
2023-12-27,POLYCAB,5420.0,5458.0,5385.0498046875,5436.64990234375,357111
2023-12-28,POLYCAB,5457.9501953125,5493.85009765625,5435.0,5458.9501953125,233728
2023-12-29,POLYCAB,5470.0,5564.5498046875,5431.5498046875,5484.85009765625,347319
2024-01-01,POLYCAB,5500.0,5530.4501953125,5449.9501953125,5464.7001953125,146403
2024-01-02,POLYCAB,5464.7001953125,5470.0,5330.0,5346.60009765625,281635
2024-01-03,POLYCAB,5340.0498046875,5426.60009765625,5309.0,5404.5498046875,250172
2024-01-04,POLYCAB,5404.5498046875,5452.0,5337.14990234375,5394.60009765625,282732
2024-01-05,POLYCAB,5433.0,5441.85009765625,5358.0498046875,5401.2998046875,140560
2024-01-08,POLYCAB,5400.0,5469.89990234375,5335.0,5344.25,346476
2024-01-09,POLYCAB,5389.89990234375,5403.0,4850.0,4867.10009765625,4167413
2024-01-10,POLYCAB,4995.9501953125,5035.25,4863.35009765625,4911.85009765625,2695792
2024-01-11,POLYCAB,4420.7001953125,4420.7001953125,3801.0,3878.449951171875,18029446
2024-01-12,POLYCAB,3910.0,4059.0,3905.0,3980.89990234375,6218177
2024-01-15,POLYCAB,4094.949951171875,4254.39990234375,3975.0,4198.2001953125,3860786
2024-01-16,POLYCAB,4290.0,4361.0,4255.0,4340.7998046875,2599390
2024-01-17,POLYCAB,4340.0,4490.0,4328.10009765625,4439.2998046875,1928680
2024-01-18,POLYCAB,4460.0,4549.0,3995.39990234375,4436.0498046875,3940479
2024-01-19,POLYCAB,4500.0,4537.0,4250.0,4422.7001953125,2042284
2024-01-23,POLYCAB,4350.0,4399.0,4050.0,4169.9501953125,1286472
2024-01-24,POLYCAB,4200.0,4400.0,4125.39990234375,4361.7001953125,1879874
2024-01-25,POLYCAB,4350.0,4455.0,4283.14990234375,4343.85009765625,1295034
2024-01-29,POLYCAB,4384.9501953125,4408.5,4293.10009765625,4346.2001953125,878902
2024-01-30,POLYCAB,4375.0,4384.9501953125,4300.0,4314.0,432662
2024-01-31,POLYCAB,4338.60009765625,4374.25,4291.0,4343.14990234375,522874
2024-02-01,POLYCAB,4350.0,4366.85009765625,4236.0,4263.9501953125,651423
2024-02-02,POLYCAB,4298.75,4437.89990234375,4269.10009765625,4383.7001953125,843638
2024-02-05,POLYCAB,4370.0,4430.0,4346.10009765625,4385.25,542583
2024-02-06,POLYCAB,4399.0,4411.9501953125,4345.0,4396.14990234375,400247
