Date,Close,High,Low,Open,Volume
2023-06-12,128.77056884765625,130.76237961035375,127.47588881264083,129.26852153833062,1698070
2023-06-13,128.96975708007812,131.2603426775194,128.22282798501976,128.96975708007812,1800492
2023-06-14,128.4718017578125,129.9158616065257,127.87425241529826,128.969754477804,1249172
2023-06-15,133.20236206054688,134.6464220118474,127.07754164990735,128.47181088456483,6680055
2023-06-16,132.1068572998047,137.08638475469837,131.01137037751516,133.94928853664007,5672484
2023-06-19,131.1109619140625,133.60072583340522,129.9158782720406,132.75421521861648,2566878
2023-06-20,134.5468292236328,135.8414941212743,130.16483622843344,131.1607416551182,3353340
2023-06-21,134.74600219726562,136.3892400109123,134.0488714640916,134.94518023584246,1730239
2023-06-22,133.3517303466797,137.7835216455667,131.8080890947734,134.845588484378,3111103
2023-06-23,130.51341247558594,133.89948493260894,129.9656614379263,133.70030688154486,2139438
2023-06-26,131.60888671875,132.1068393967571,128.870146989711,130.86195770173936,1631955
2023-06-27,132.1068572998047,133.89949022282877,131.55912143681584,132.1068572998047,1504765
2023-06-28,133.6505126953125,135.34354897608574,132.55502578248823,132.60480889955758,1768422
2023-06-30,132.1566619873047,135.0447971682199,131.45953114926053,134.54684439871514,1376365
2023-07-03,130.51341247558594,133.3019507794167,130.11504117714657,132.90357948097733,1802687
2023-07-04,127.87425994873047,133.05298069878413,127.22692745312973,131.11095281935803,2433133
2023-07-05,128.82037353515625,130.8619675109726,127.72487148289942,128.32242081982332,2111200
2023-07-06,128.82037353515625,131.65869489476748,128.22282419823236,129.16893131810278,2315682
2023-07-07,128.4219970703125,130.1150331949611,127.3265026603543,129.21872442200308,1857861
2023-07-10,126.87834930419922,129.01954743086966,124.98612752718451,129.01954743086966,2028548
2023-07-11,130.71258544921875,132.455419921875,127.27671481381569,127.32650552556983,3234562
2023-07-12,132.70440673828125,134.64641940738397,130.7125957553427,131.31014512874899,3487168
2023-07-13,134.29786682128906,137.78353617686693,132.75421021027068,133.50113935789452,5148777
2023-07-14,142.16549682617188,143.1116039234062,133.650502558442,135.14436066869953,12088712
2023-07-17,141.26919555664062,148.53929325641388,140.67164620221288,144.4062916766079,8771371
2023-07-18,143.9083251953125,144.40627787764922,139.8749054291231,142.06589419214268,4674919
2023-07-19,140.87083435058594,148.0413511360453,140.37288158498023,147.3940186192829,7615850
2023-07-20,139.4765625,143.11161134494347,138.67983509395023,141.91652783402446,2329072
2023-07-21,140.4724578857422,141.41856496419837,137.03658733960646,139.42675419005474,2623082
2023-07-24,138.58023071289062,142.3148759731695,138.03249489843142,141.11979252914236,1525914
2023-07-25,138.13209533691406,140.27330136536332,137.43496449828672,139.27739582552067,1228589
2023-07-26,137.78353881835938,140.22350437477874,137.08639277682866,138.82922748803003,1845694
2023-07-27,136.98680114746094,138.8292171587192,136.23987204109125,138.4806593602003,1442756
2023-07-28,135.7917022705078,138.0822724474648,135.44312931507008,137.2357620070315,1309389
2023-07-31,139.4765625,140.4226696462979,136.78762080135442,136.78762080135442,2006949
2023-08-01,138.8292236328125,141.8169401976189,137.7337366768375,140.37288023055825,1980697
2023-08-02,135.94110107421875,140.57205558173877,132.95338456709305,138.92881758134442,3096684
2023-08-03,138.97860717773438,140.77124000882208,135.29376008935526,136.43904526671935,2818981
2023-08-04,141.2194061279297,142.3148930848781,138.53046425647705,139.62595121342545,2516422
2023-08-07,152.32373046875,153.8673869041378,141.26918945944303,141.91652190187466,13362592
2023-08-08,151.87559509277344,156.05839532819715,150.43153509672763,152.6225242489674,4920779
2023-08-09,152.87149047851562,155.26165754102317,149.73439430943554,152.07476305890927,3680852
2023-08-10,159.9921875,165.61906181366908,152.8714703660343,153.17024500861743,11207020
2023-08-11,164.72274780273438,165.9178464450156,157.80120828168967,160.78892449477175,5596708
2023-08-14,167.16273498535156,169.80187833550207,158.3987640319989,165.37010214547993,6799453
2023-08-16,166.26641845703125,170.5986134155133,163.67707330174036,167.26232394667662,5028736
2023-08-17,168.8557586669922,170.99694913579714,165.96762397373928,166.9137462330954,3201057
2023-08-18,166.31619262695312,175.5781153753807,160.93830984209046,169.60268330495123,10951945
