Date,Open,High,Low,Close,Volume,Symbol
2023-12-04,54313.6015625,54397.55078125,53967.3984375,54237.69921875,25500,NIFTY FMCG
2023-12-05,54476.5,54557.69921875,54039.6015625,54110.8984375,26700,NIFTY FMCG
2023-12-06,54281.75,54872.8984375,54201.19921875,54662.55078125,31200,NIFTY FMCG
2023-12-07,54678.55078125,54728.5,54088.19921875,54173.1484375,24900,NIFTY FMCG
2023-12-08,54309.6015625,54491.30078125,53568.6015625,53636.3515625,29600,NIFTY FMCG
2023-12-11,53790.44921875,54021.25,53558.80078125,53976.8984375,17100,NIFTY FMCG
2023-12-12,54093.0,54372.80078125,53738.80078125,53837.0,20200,NIFTY FMCG
2023-12-13,54047.75,54275.6484375,53776.6015625,54215.3515625,22900,NIFTY FMCG
2023-12-14,54560.8515625,54564.0,53990.1015625,54361.44921875,27400,NIFTY FMCG
2023-12-15,54542.05078125,54585.75,53963.25,54186.19921875,29400,NIFTY FMCG
2023-12-18,54070.8984375,54122.25,53911.3515625,54017.05078125,24500,NIFTY FMCG
2023-12-19,54201.94921875,54855.80078125,54145.05078125,54776.55078125,26900,NIFTY FMCG
2023-12-20,55500.3984375,55581.3984375,54459.19921875,54597.8984375,41600,NIFTY FMCG
2023-12-21,54350.19921875,54940.3515625,53970.6015625,54803.30078125,34300,NIFTY FMCG
2023-12-22,54972.6015625,55143.05078125,54643.75,55101.05078125,29900,NIFTY FMCG
2023-12-26,55271.75,55556.75,55189.8515625,55484.3984375,16100,NIFTY FMCG
2023-12-27,55572.44921875,55813.30078125,55471.19921875,55750.3515625,21200,NIFTY FMCG
2023-12-28,55866.75,56580.69921875,55789.05078125,56504.5,39100,NIFTY FMCG
2023-12-29,56555.1484375,57055.80078125,56481.1015625,56987.19921875,35000,NIFTY FMCG
2024-01-02,57427.3984375,57430.0,56763.69921875,57209.5,21800,NIFTY FMCG
2024-01-03,57130.5,57631.6015625,57058.44921875,57213.30078125,35600,NIFTY FMCG
2024-01-04,57470.8984375,57922.19921875,57327.25,57703.8984375,27400,NIFTY FMCG
2024-01-05,57945.1015625,57966.69921875,57455.8515625,57667.3515625,24100,NIFTY FMCG
2024-01-08,57718.8515625,57748.3515625,56636.44921875,56672.8515625,28300,NIFTY FMCG
2024-01-09,56868.30078125,56996.25,56487.6484375,56573.1015625,17000,NIFTY FMCG
2024-01-10,56575.6015625,56794.8515625,56134.6484375,56348.94921875,17400,NIFTY FMCG
2024-01-11,56476.3984375,56688.0,56123.80078125,56228.55078125,17700,NIFTY FMCG
2024-01-12,56279.1015625,56559.8984375,56008.0,56485.75,27800,NIFTY FMCG
2024-01-15,56795.3984375,56818.6015625,56317.44921875,56657.30078125,21000,NIFTY FMCG
2024-01-16,56705.19921875,56872.5,56425.05078125,56755.8515625,24700,NIFTY FMCG
2024-01-17,56477.6484375,56839.6015625,56191.69921875,56259.5,25600,NIFTY FMCG
2024-01-18,56175.6015625,56228.19921875,55206.69921875,55953.6015625,22200,NIFTY FMCG
2024-01-19,56296.30078125,56813.94921875,56085.30078125,56640.5,25100,NIFTY FMCG
2024-01-23,56212.69921875,56284.3984375,54816.1015625,54973.8984375,25900,NIFTY FMCG
2024-01-24,55130.30078125,55918.6015625,54859.8984375,55858.69921875,36500,NIFTY FMCG
2024-01-25,55932.30078125,55981.6015625,54981.05078125,55214.1015625,33800,NIFTY FMCG
2024-01-29,55058.1484375,55470.5,55047.69921875,55139.1015625,32100,NIFTY FMCG
2024-01-30,55187.19921875,55501.3984375,54507.3984375,54574.3515625,57500,NIFTY FMCG
2024-01-31,54634.25,55124.94921875,54501.3515625,55071.3984375,37300,NIFTY FMCG
2024-02-01,55205.8515625,55792.0,55114.19921875,55215.80078125,54900,NIFTY FMCG
2024-02-02,55347.3984375,55557.5,54992.8984375,55118.3984375,31900,NIFTY FMCG
2024-02-05,55340.3984375,55387.8984375,54590.6015625,54698.3984375,26700,NIFTY FMCG
2024-02-06,54860.1484375,54956.69921875,54372.6015625,54608.80078125,32000,NIFTY FMCG
2024-02-07,55041.3515625,55041.3515625,54523.1015625,54772.6015625,24600,NIFTY FMCG
2024-02-08,54774.6015625,54775.6015625,53317.25,53646.19921875,63200,NIFTY FMCG
2024-02-09,53536.8515625,54007.80078125,53452.75,53867.1015625,44100,NIFTY FMCG
2024-02-12,54005.55078125,54036.0,53231.5,53292.94921875,19300,NIFTY FMCG
2024-02-13,53345.3984375,53534.80078125,53232.6484375,53432.05078125,23500,NIFTY FMCG
2024-02-14,53224.3515625,53951.69921875,53138.3984375,53839.05078125,22200,NIFTY FMCG
2024-02-15,53902.0,53997.6484375,53265.3984375,53321.3515625,33000,NIFTY FMCG
2024-02-16,53465.0,53643.8984375,53186.69921875,53518.6015625,49100,NIFTY FMCG
2024-02-20,53981.3984375,54027.1484375,53552.55078125,53882.5,23000,NIFTY FMCG
2024-02-21,53975.55078125,54226.8515625,53651.25,53892.3515625,33000,NIFTY FMCG
2024-02-22,54189.30078125,54479.80078125,53581.80078125,54419.19921875,29000,NIFTY FMCG
2024-02-23,54528.5,54561.55078125,54268.75,54337.75,21000,NIFTY FMCG
2024-02-26,54312.6015625,54433.25,54074.55078125,54317.30078125,17000,NIFTY FMCG
2024-02-27,54342.80078125,54456.6484375,54128.3984375,54306.44921875,23600,NIFTY FMCG
2024-02-28,54406.30078125,54439.1484375,53742.6484375,53824.8984375,27600,NIFTY FMCG
2024-02-29,53836.75,54113.30078125,53453.5,54015.6015625,37700,NIFTY FMCG
2024-03-01,54272.8515625,54559.6484375,54062.6015625,54225.1484375,24500,NIFTY FMCG
2024-03-04,54492.8515625,54588.55078125,54102.55078125,54221.75,17200,NIFTY FMCG
2024-03-05,54224.55078125,54364.94921875,53580.1015625,53653.1015625,24100,NIFTY FMCG
2024-03-06,53657.3515625,53946.8984375,53171.75,53879.6015625,23200,NIFTY FMCG
2024-03-07,53914.0,54461.05078125,53637.1015625,54406.30078125,36100,NIFTY FMCG
2024-03-11,54570.8515625,54628.6015625,53970.25,54087.44921875,32000,NIFTY FMCG
2024-03-12,53944.05078125,53950.25,53382.3515625,53636.1015625,43900,NIFTY FMCG
2024-03-13,54844.5,54962.5,53470.25,53664.1484375,120600,NIFTY FMCG
2024-03-14,53504.3984375,54252.44921875,53280.19921875,54145.80078125,45500,NIFTY FMCG
2024-03-15,54013.94921875,54464.94921875,53886.69921875,54155.44921875,91200,NIFTY FMCG
2024-03-18,54144.30078125,54189.1015625,53805.8515625,53907.8515625,26800,NIFTY FMCG
2024-03-19,53859.55078125,53915.1015625,52626.94921875,52740.8984375,38500,NIFTY FMCG
2024-03-20,52726.5,53033.69921875,52562.6015625,52993.5,32000,NIFTY FMCG
