Date,Symbol,Open,High,Low,Close,Volume
2026-01-14,VIYASH,189.0,195.5,188.0,192.57000732421875,449490
2026-01-16,VIYASH,192.0,197.08999633789062,191.38999938964844,193.72999572753906,409145
2026-01-19,VIYASH,199.0,206.89999389648438,194.0,205.67999267578125,2376238
2026-01-20,VIYASH,205.0,205.1999969482422,197.5,199.42999267578125,894187
2026-01-21,VIYASH,198.91000366210938,199.88999938964844,192.6199951171875,193.97999572753906,681135
2026-01-22,VIYASH,195.0,202.0,195.0,201.1699981689453,364240
2026-01-23,VIYASH,204.1999969482422,211.38999938964844,202.10000610351562,207.16000366210938,958755
2026-01-27,VIYASH,210.0,210.0,200.16000366210938,203.85000610351562,398729
2026-01-28,VIYASH,204.85000610351562,209.0399932861328,202.10000610351562,203.99000549316406,359434
2026-01-29,VIYASH,204.38999938964844,207.8000030517578,200.50999450683594,202.14999389648438,354979
2026-01-30,VIYASH,201.5,207.1999969482422,200.6300048828125,203.61000061035156,508686
2026-02-02,VIYASH,204.0,205.8000030517578,197.10000610351562,204.22999572753906,411235
2026-02-03,VIYASH,208.5,218.0,208.30999755859375,212.6999969482422,1343590
2026-02-04,VIYASH,212.5,217.9199981689453,212.0,216.5500030517578,395266
2026-02-05,VIYASH,217.0,220.0,207.25,208.9499969482422,618526
2026-02-06,VIYASH,207.0,207.22999572753906,199.0,201.55999755859375,660975
2026-02-09,VIYASH,207.6999969482422,212.89999389648438,203.75,207.4199981689453,1134818
2026-02-10,VIYASH,208.4499969482422,211.50999450683594,203.10000610351562,205.00999450683594,532524
2026-02-11,VIYASH,205.00999450683594,217.0,204.10000610351562,216.11000061035156,1391545
2026-02-12,VIYASH,214.10000610351562,228.1999969482422,213.7100067138672,222.85000610351562,2047363
2026-02-13,VIYASH,222.0,222.0,215.10000610351562,216.3300018310547,380396
2026-02-16,VIYASH,219.8000030517578,219.8000030517578,210.61000061035156,211.55999755859375,379246
2026-02-17,VIYASH,211.0,224.0500030517578,210.42999267578125,220.75999450683594,861282
2026-02-18,VIYASH,222.64999389648438,226.88999938964844,221.02999877929688,223.97000122070312,538509
2026-02-19,VIYASH,224.2100067138672,224.2100067138672,214.61000061035156,215.72000122070312,403647
2026-02-20,VIYASH,218.22999572753906,218.22999572753906,213.0,216.75999450683594,456996
2026-02-23,VIYASH,217.0399932861328,220.94000244140625,213.00999450683594,219.16000366210938,445058
2026-02-24,VIYASH,216.47999572753906,220.7100067138672,214.5,219.4199981689453,660124
2026-02-25,VIYASH,219.0,221.89999389648438,213.64999389648438,219.27000427246094,684480
2026-02-26,VIYASH,220.0,240.0,216.2100067138672,225.49000549316406,880079
2026-02-27,VIYASH,225.0,225.5,205.5,213.0800018310547,1130863
2026-03-02,VIYASH,202.1999969482422,208.97999572753906,195.1999969482422,199.94000244140625,1642816
2026-03-04,VIYASH,197.0,202.0,194.5,200.9199981689453,844421
2026-03-05,VIYASH,200.97999572753906,205.5500030517578,199.07000732421875,202.1699981689453,606961
2026-03-06,VIYASH,203.0,204.8800048828125,200.2100067138672,202.8699951171875,320833
2026-03-09,VIYASH,195.8800048828125,197.0,190.1699981689453,190.6699981689453,757761
2026-03-10,VIYASH,192.72999572753906,198.50999450683594,189.6199951171875,197.4499969482422,1162070
2026-03-11,VIYASH,199.0,200.82000732421875,195.0,195.32000732421875,499661
2026-03-12,VIYASH,194.74000549316406,199.10000610351562,191.4499969482422,196.05999755859375,694905
2026-03-13,VIYASH,196.05999755859375,199.3000030517578,190.7100067138672,197.3000030517578,968961
2026-03-16,VIYASH,196.64999389648438,198.72999572753906,190.89999389648438,194.6699981689453,826402
2026-03-17,VIYASH,195.10000610351562,195.77999877929688,190.5,192.5,745269
2026-03-18,VIYASH,191.14999389648438,199.39999389648438,191.14999389648438,195.32000732421875,796819
2026-03-19,VIYASH,192.0,194.69000244140625,189.0,189.7100067138672,591877
2026-03-20,VIYASH,190.00999450683594,194.75999450683594,188.0,188.42999267578125,545603
2026-03-23,VIYASH,186.5399932861328,187.1199951171875,178.1300048828125,179.88999938964844,1040362
2026-03-24,VIYASH,185.39999389648438,192.5,185.0,188.77999877929688,965465
2026-03-25,VIYASH,190.0,195.1999969482422,190.0,193.72000122070312,736660
2026-03-27,VIYASH,192.0,194.39999389648438,186.0,187.5,682707
2026-03-30,VIYASH,186.85000610351562,186.85000610351562,181.69000244140625,182.82000732421875,798724
2026-04-01,VIYASH,186.99000549316406,195.30999755859375,186.99000549316406,192.92999267578125,565164
2026-04-02,VIYASH,188.97999572753906,192.3800048828125,186.0,191.75999450683594,368588
2026-04-06,VIYASH,193.0,197.5500030517578,187.64999389648438,195.47000122070312,614739
2026-04-07,VIYASH,195.5,201.49000549316406,192.75999450683594,194.36000061035156,719868
2026-04-08,VIYASH,200.1999969482422,210.89999389648438,198.5800018310547,206.8699951171875,1058023
2026-04-09,VIYASH,209.0,212.47000122070312,203.00999450683594,204.9600067138672,1409245
2026-04-10,VIYASH,205.64999389648438,209.80999755859375,205.22999572753906,208.75,782045
2026-04-13,VIYASH,202.5500030517578,208.33999633789062,201.89999389648438,205.25,577800
2026-04-15,VIYASH,207.86000061035156,214.77999877929688,207.85000610351562,210.1999969482422,881030
2026-04-16,VIYASH,212.89999389648438,212.89999389648438,205.52999877929688,208.24000549316406,841629
2026-04-17,VIYASH,207.0,210.97999572753906,206.0500030517578,208.25,1076768
2026-04-20,VIYASH,208.0,210.2899932861328,206.0500030517578,207.30999755859375,575868
2026-04-21,VIYASH,207.35000610351562,213.17999267578125,207.35000610351562,208.0500030517578,681150
2026-04-22,VIYASH,207.0,212.27999877929688,207.0,209.61000061035156,639894
2026-04-23,VIYASH,209.61000061035156,216.47999572753906,209.61000061035156,211.75999450683594,1052768
2026-04-24,VIYASH,212.0,212.0,205.05999755859375,207.14999389648438,621712
2026-04-27,VIYASH,207.9499969482422,210.0,207.10000610351562,208.82000732421875,572973
2026-04-28,VIYASH,209.9499969482422,212.0,208.3000030517578,210.27000427246094,482794
2026-04-29,VIYASH,210.1199951171875,212.8300018310547,206.50999450683594,207.2100067138672,487140
2026-04-30,VIYASH,207.0,208.0800018310547,202.9499969482422,203.74000549316406,565510
2026-05-04,VIYASH,204.08999633789062,207.5500030517578,203.1199951171875,204.77999877929688,490643
2026-05-05,VIYASH,204.75,208.0,199.8800048828125,200.57000732421875,803639
2026-05-06,VIYASH,202.97999572753906,221.39999389648438,200.00999450683594,219.64999389648438,2748907
2026-05-07,VIYASH,222.0,233.0,219.75999450683594,221.75,2291850
2026-05-08,VIYASH,221.75,225.3699951171875,218.0,219.60000610351562,861133
2026-05-11,VIYASH,218.80999755859375,228.89999389648438,216.1999969482422,225.22999572753906,1558973
2026-05-12,VIYASH,225.0,227.49000549316406,213.6999969482422,214.69000244140625,927009
2026-05-13,VIYASH,215.1999969482422,227.77000427246094,215.1999969482422,225.60000610351562,1029479
2026-05-14,VIYASH,227.0,235.39999389648438,224.16000366210938,230.4499969482422,1632821
2026-05-15,VIYASH,229.99000549316406,231.5800018310547,223.8300018310547,224.5399932861328,579474
2026-05-18,VIYASH,224.10000610351562,228.0,217.0500030517578,225.47999572753906,844819
2026-05-19,VIYASH,228.02000427246094,232.99000549316406,225.5500030517578,228.80999755859375,644517
