Date,Symbol,Open,High,Low,Close,Volume
2023-12-01,SARDAEN,241.5,247.75,240.0,244.35000610351562,295740
2023-12-04,SARDAEN,255.0,255.39999389648438,245.9499969482422,252.10000610351562,414460
2023-12-05,SARDAEN,254.8000030517578,256.5,245.64999389648438,254.39999389648438,307342
2023-12-06,SARDAEN,256.70001220703125,260.0,248.0,258.3500061035156,295675
2023-12-07,SARDAEN,257.95001220703125,263.8500061035156,250.10000610351562,257.3500061035156,358876
2023-12-08,SARDAEN,261.0,264.0,247.25,249.4499969482422,375355
2023-12-11,SARDAEN,250.9499969482422,258.8999938964844,249.4499969482422,256.25,185696
2023-12-12,SARDAEN,257.25,257.25,241.10000610351562,243.3000030517578,380641
2023-12-13,SARDAEN,244.5,264.79998779296875,240.89999389648438,259.6000061035156,444558
2023-12-14,SARDAEN,259.95001220703125,262.0,252.35000610351562,258.5,358024
2023-12-15,SARDAEN,258.0,265.0,253.9499969482422,259.8500061035156,455773
2023-12-18,SARDAEN,256.20001220703125,262.0,249.5500030517578,257.25,355871
2023-12-19,SARDAEN,258.0,261.95001220703125,251.5,257.70001220703125,337988
2023-12-20,SARDAEN,257.1000061035156,259.0,236.0,240.75,511310
2023-12-21,SARDAEN,238.0,250.8000030517578,234.0,248.60000610351562,321358
2023-12-22,SARDAEN,249.6999969482422,259.0,245.0,250.5,863634
2023-12-26,SARDAEN,250.35000610351562,252.60000610351562,243.4499969482422,245.14999389648438,327117
2023-12-27,SARDAEN,246.5500030517578,252.5,244.39999389648438,250.5,688766
2023-12-28,SARDAEN,251.89999389648438,255.5,244.60000610351562,249.25,558220
2023-12-29,SARDAEN,245.0,254.5,244.14999389648438,253.25,443088
2024-01-01,SARDAEN,251.8000030517578,257.0,250.1999969482422,254.85000610351562,275334
2024-01-02,SARDAEN,253.9499969482422,255.35000610351562,245.85000610351562,250.1999969482422,287102
2024-01-03,SARDAEN,250.5,252.5,247.25,249.1999969482422,172060
2024-01-04,SARDAEN,249.89999389648438,256.0,249.14999389648438,252.0500030517578,349268
2024-01-05,SARDAEN,253.8000030517578,255.0,248.0,251.14999389648438,247534
2024-01-08,SARDAEN,252.0,253.0,247.10000610351562,250.3000030517578,186225
2024-01-09,SARDAEN,250.8000030517578,253.89999389648438,243.5,245.5500030517578,287908
2024-01-10,SARDAEN,246.0,249.8000030517578,244.0,245.8000030517578,330184
2024-01-11,SARDAEN,246.4499969482422,255.89999389648438,245.8000030517578,253.75,414378
2024-01-12,SARDAEN,254.60000610351562,263.3999938964844,246.0,247.4499969482422,798035
2024-01-15,SARDAEN,249.9499969482422,250.0,243.3000030517578,248.64999389648438,347284
2024-01-16,SARDAEN,253.9499969482422,262.20001220703125,248.0,252.39999389648438,1115084
2024-01-17,SARDAEN,249.10000610351562,256.75,247.3000030517578,248.8000030517578,402174
2024-01-18,SARDAEN,249.1999969482422,254.5,242.5500030517578,244.6999969482422,482853
2024-01-19,SARDAEN,246.89999389648438,258.0,245.0,255.85000610351562,701605
2024-01-23,SARDAEN,252.25,255.0,235.5500030517578,238.64999389648438,495920
2024-01-24,SARDAEN,240.9499969482422,243.14999389648438,229.39999389648438,236.75,583511
2024-01-25,SARDAEN,236.8000030517578,239.9499969482422,229.6999969482422,231.75,424953
2024-01-29,SARDAEN,233.35000610351562,245.0,233.35000610351562,243.6999969482422,556015
2024-01-30,SARDAEN,245.0,247.4499969482422,239.75,243.5500030517578,533313
2024-01-31,SARDAEN,244.60000610351562,252.8000030517578,244.5500030517578,250.39999389648438,670485
2024-02-01,SARDAEN,250.89999389648438,253.25,241.39999389648438,244.5500030517578,417021
2024-02-02,SARDAEN,246.6999969482422,253.0,238.64999389648438,247.3000030517578,1191782
2024-02-05,SARDAEN,243.39999389648438,244.0,231.60000610351562,236.1999969482422,1062009
2024-02-06,SARDAEN,237.35000610351562,238.9499969482422,230.0500030517578,232.5,556905
2024-02-07,SARDAEN,234.10000610351562,238.89999389648438,231.0,232.85000610351562,560350
2024-02-08,SARDAEN,233.9499969482422,235.10000610351562,226.0500030517578,227.5,447689
2024-02-09,SARDAEN,228.9499969482422,228.9499969482422,215.3000030517578,220.64999389648438,627437
2024-02-12,SARDAEN,222.14999389648438,222.25,213.6999969482422,216.35000610351562,315960
2024-02-13,SARDAEN,218.14999389648438,222.25,209.75,219.39999389648438,525211
2024-02-14,SARDAEN,215.25,226.0,214.0,224.6999969482422,303354
2024-02-15,SARDAEN,225.5,228.0,219.5500030517578,225.9499969482422,410918
2024-02-16,SARDAEN,226.10000610351562,231.0,222.8000030517578,228.5500030517578,650482
2024-02-19,SARDAEN,229.85000610351562,231.6999969482422,223.9499969482422,226.5500030517578,391356
2024-02-20,SARDAEN,224.10000610351562,229.9499969482422,223.1999969482422,223.75,364763
2024-02-21,SARDAEN,225.3000030517578,225.9499969482422,215.9499969482422,217.35000610351562,359769
2024-02-22,SARDAEN,219.0,222.6999969482422,213.60000610351562,221.1999969482422,439291
2024-02-23,SARDAEN,220.60000610351562,222.0,212.0,214.25,422086
2024-02-26,SARDAEN,215.39999389648438,216.4499969482422,210.6999969482422,212.25,443758
2024-02-27,SARDAEN,212.0,217.0,210.60000610351562,214.64999389648438,306936
2024-02-28,SARDAEN,214.64999389648438,214.64999389648438,206.10000610351562,207.4499969482422,358677
2024-02-29,SARDAEN,206.39999389648438,215.9499969482422,205.25,214.1999969482422,276970
2024-03-01,SARDAEN,213.0,219.0,213.0,215.6999969482422,301863
2024-03-04,SARDAEN,219.9499969482422,219.9499969482422,211.0500030517578,212.64999389648438,299170
2024-03-05,SARDAEN,212.64999389648438,213.8000030517578,205.0,205.89999389648438,446514
2024-03-06,SARDAEN,202.60000610351562,207.4499969482422,198.14999389648438,202.75,604449
2024-03-07,SARDAEN,204.35000610351562,209.9499969482422,200.10000610351562,208.6999969482422,590099
2024-03-11,SARDAEN,209.39999389648438,211.75,199.0,200.60000610351562,464074
2024-03-12,SARDAEN,200.0,201.0,192.10000610351562,196.0,538839
2024-03-13,SARDAEN,195.89999389648438,197.0,181.0,183.25,696327
2024-03-14,SARDAEN,182.0,197.64999389648438,180.25,195.4499969482422,527445
2024-03-15,SARDAEN,193.8000030517578,201.89999389648438,190.10000610351562,199.9499969482422,299753
2024-03-18,SARDAEN,201.39999389648438,201.60000610351562,195.8000030517578,200.0500030517578,344094
2024-03-19,SARDAEN,199.85000610351562,202.5,195.39999389648438,197.9499969482422,287209
2024-03-20,SARDAEN,198.85000610351562,199.64999389648438,189.6999969482422,191.0,255391
2024-03-21,SARDAEN,192.0,198.64999389648438,192.0,195.60000610351562,357392
2024-03-22,SARDAEN,206.0,225.60000610351562,201.60000610351562,217.10000610351562,6470067
2024-03-26,SARDAEN,219.0500030517578,221.0500030517578,207.1999969482422,210.0500030517578,605013
2024-03-27,SARDAEN,211.10000610351562,212.89999389648438,205.25,207.0,617629
2024-03-28,SARDAEN,206.89999389648438,211.35000610351562,200.1999969482422,202.85000610351562,473813
2024-04-01,SARDAEN,203.0,210.64999389648438,203.0,207.0500030517578,354283
2024-04-02,SARDAEN,208.6999969482422,211.0,205.0,206.75,531096
2024-04-03,SARDAEN,207.64999389648438,222.60000610351562,206.6999969482422,220.3000030517578,874805
