Date,Symbol,Open,High,Low,Close,Volume
2023-12-01,METROPOLIS,425.51251220703125,428.875,420.5,422.0249938964844,1112312
2023-12-04,METROPOLIS,424.98748779296875,426.98748779296875,419.0,421.13751220703125,1005092
2023-12-05,METROPOLIS,420.2749938964844,424.75,414.5249938964844,417.5625,565008
2023-12-06,METROPOLIS,419.48748779296875,424.67498779296875,413.82501220703125,416.95001220703125,747372
2023-12-07,METROPOLIS,415.0,420.0,412.3500061035156,417.1625061035156,530488
2023-12-08,METROPOLIS,418.0,419.7250061035156,410.5,413.42498779296875,424144
2023-12-11,METROPOLIS,413.42498779296875,413.73748779296875,409.2749938964844,411.4624938964844,304840
2023-12-12,METROPOLIS,410.75,411.8125,402.38751220703125,405.1000061035156,483172
2023-12-13,METROPOLIS,405.0874938964844,416.5375061035156,404.42498779296875,412.48748779296875,968100
2023-12-14,METROPOLIS,412.5,416.98748779296875,405.32501220703125,407.11248779296875,589992
2023-12-15,METROPOLIS,406.5249938964844,411.4624938964844,403.61248779296875,404.375,384428
2023-12-18,METROPOLIS,385.0,415.23748779296875,385.0,404.8125,1977796
2023-12-19,METROPOLIS,408.75,419.5,404.2749938964844,409.6000061035156,2402556
2023-12-20,METROPOLIS,413.75,419.73748779296875,390.8999938964844,398.5,2045664
2023-12-21,METROPOLIS,399.25,431.75,399.1875,427.375,7651404
2023-12-22,METROPOLIS,427.51251220703125,438.7124938964844,422.73748779296875,428.63751220703125,4309084
2023-12-26,METROPOLIS,431.0,432.6875,422.5249938964844,423.67498779296875,1493676
2023-12-27,METROPOLIS,427.25,427.25,412.63751220703125,416.63751220703125,1855156
2023-12-28,METROPOLIS,418.0375061035156,422.25,413.76251220703125,417.0625,1174568
2023-12-29,METROPOLIS,417.0,424.4375,415.0,419.5375061035156,1203468
2024-01-01,METROPOLIS,421.125,425.7250061035156,417.57501220703125,418.63751220703125,425568
2024-01-02,METROPOLIS,418.04998779296875,432.0,416.67498779296875,430.04998779296875,1662684
2024-01-03,METROPOLIS,430.75,435.6499938964844,425.04998779296875,427.01251220703125,1248248
