Date,Symbol,Open,High,Low,Close,Volume
2025-10-01,JAINREC,265.04998779296875,318.05999755859375,247.57000732421875,318.05999755859375,48880410
2025-10-03,JAINREC,319.94000244140625,346.70001220703125,295.8999938964844,304.5799865722656,20131760
2025-10-06,JAINREC,306.0,341.70001220703125,298.20001220703125,311.1499938964844,21512090
2025-10-07,JAINREC,314.0,342.7699890136719,310.32000732421875,324.0400085449219,26817060
2025-10-08,JAINREC,329.8999938964844,339.79998779296875,320.1000061035156,325.260009765625,9969931
2025-10-09,JAINREC,327.70001220703125,356.6000061035156,320.29998779296875,342.45001220703125,22373350
2025-10-10,JAINREC,347.0,351.0,336.4700012207031,347.010009765625,7650824
2025-10-13,JAINREC,343.8999938964844,357.0,340.79998779296875,344.44000244140625,4860667
2025-10-14,JAINREC,345.2300109863281,345.79998779296875,320.25,326.75,4277072
2025-10-15,JAINREC,327.9700012207031,335.94000244140625,323.0,328.0,2184916
2025-10-16,JAINREC,328.0,330.1400146484375,314.3500061035156,319.3599853515625,2144253
2025-10-17,JAINREC,320.25,341.7699890136719,317.1199951171875,338.70001220703125,3689325
2025-10-20,JAINREC,343.0,352.7099914550781,336.04998779296875,350.1700134277344,4456798
2025-10-21,JAINREC,370.0,372.0,348.1000061035156,355.29998779296875,3824680
2025-10-23,JAINREC,359.45001220703125,387.9800109863281,358.7099914550781,369.19000244140625,15346430
2025-10-24,JAINREC,368.1000061035156,404.3999938964844,367.4599914550781,400.2200012207031,15354850
2025-10-27,JAINREC,408.1400146484375,413.6600036621094,380.010009765625,392.6000061035156,7049163
2025-10-28,JAINREC,391.0,400.0,381.04998779296875,395.20001220703125,4514277
2025-10-29,JAINREC,380.0,391.0,377.79998779296875,387.7699890136719,3508739
2025-10-30,JAINREC,386.2099914550781,408.79998779296875,385.0,397.57000732421875,4757737
2025-10-31,JAINREC,397.5,397.5,383.32000732421875,386.04998779296875,1939579
2025-11-03,JAINREC,385.3500061035156,385.3500061035156,368.04998779296875,372.70001220703125,2747552
2025-11-04,JAINREC,372.6499938964844,383.95001220703125,369.1000061035156,377.25,2120907
2025-11-06,JAINREC,377.79998779296875,382.70001220703125,362.0,379.04998779296875,2149271
2025-11-07,JAINREC,375.95001220703125,393.0,368.6000061035156,385.8500061035156,3050674
2025-11-10,JAINREC,395.95001220703125,418.3999938964844,392.25,411.6000061035156,6747162
2025-11-11,JAINREC,412.5,444.8999938964844,411.29998779296875,435.3999938964844,9104998
2025-11-12,JAINREC,438.0,446.0,420.5,424.54998779296875,3511560
2025-11-14,JAINREC,441.1000061035156,449.95001220703125,437.29998779296875,439.70001220703125,2345611
2025-11-17,JAINREC,441.29998779296875,457.95001220703125,441.04998779296875,449.04998779296875,2246299
2025-11-18,JAINREC,450.0,461.0,436.6499938964844,457.8999938964844,2525499
2025-11-19,JAINREC,458.95001220703125,458.95001220703125,442.8999938964844,444.45001220703125,1549483
2025-11-20,JAINREC,442.0,451.20001220703125,423.8999938964844,425.79998779296875,1685833
2025-11-21,JAINREC,425.79998779296875,431.20001220703125,416.1000061035156,427.75,1596910
2025-11-24,JAINREC,429.0,430.8999938964844,410.0,415.70001220703125,1149227
2025-11-25,JAINREC,415.0,419.25,403.0,404.79998779296875,1207447
2025-11-26,JAINREC,407.0,413.25,396.79998779296875,399.0,1362696
2025-11-27,JAINREC,402.45001220703125,406.29998779296875,390.3999938964844,394.45001220703125,1259059
2025-11-28,JAINREC,392.45001220703125,404.3500061035156,390.70001220703125,398.3999938964844,1966631
2025-12-01,JAINREC,399.3999938964844,399.3999938964844,381.25,383.95001220703125,907537
2025-12-02,JAINREC,382.3999938964844,386.20001220703125,378.1499938964844,379.6000061035156,548331
2025-12-03,JAINREC,379.20001220703125,387.5,371.45001220703125,384.3999938964844,1213108
2025-12-04,JAINREC,384.45001220703125,387.20001220703125,373.1499938964844,375.6499938964844,648275
2025-12-05,JAINREC,375.6499938964844,376.04998779296875,359.29998779296875,366.8500061035156,996690
2025-12-08,JAINREC,368.75,384.79998779296875,364.45001220703125,383.1499938964844,1538040
2025-12-09,JAINREC,382.3999938964844,399.45001220703125,369.04998779296875,395.04998779296875,2319098
2025-12-10,JAINREC,395.3999938964844,398.0,380.25,392.04998779296875,1254379
2025-12-11,JAINREC,391.8999938964844,394.8500061035156,374.20001220703125,377.04998779296875,1290450
2025-12-12,JAINREC,380.3500061035156,387.6000061035156,378.0,382.79998779296875,855384
2025-12-15,JAINREC,384.3999938964844,412.45001220703125,382.25,408.04998779296875,1705310
2025-12-16,JAINREC,407.04998779296875,415.3999938964844,398.04998779296875,410.95001220703125,1380009
2025-12-17,JAINREC,404.79998779296875,406.95001220703125,380.3999938964844,402.20001220703125,3173423
2025-12-18,JAINREC,400.1000061035156,405.75,393.1000061035156,400.75,1155773
2025-12-19,JAINREC,404.0,409.0,396.5,401.29998779296875,1166244
2025-12-22,JAINREC,402.1499938964844,424.79998779296875,401.5,420.3999938964844,3793915
2025-12-23,JAINREC,421.3999938964844,429.0,418.0,421.95001220703125,1536262
