Date,Open,High,Low,Close,Volume,Symbol
2023-12-04,17756.150390625,17756.94921875,17530.94921875,17687.25,661900,NIFTY AUTO
2023-12-05,17728.849609375,17868.5,17681.599609375,17792.099609375,491000,NIFTY AUTO
2023-12-06,17775.349609375,17827.69921875,17672.94921875,17788.400390625,482300,NIFTY AUTO
2023-12-07,17865.75,18005.599609375,17757.400390625,17867.349609375,424300,NIFTY AUTO
2023-12-08,17914.94921875,17948.25,17663.30078125,17769.099609375,428600,NIFTY AUTO
2023-12-11,17811.150390625,17885.849609375,17711.650390625,17852.30078125,542400,NIFTY AUTO
2023-12-12,17927.400390625,17935.0,17630.650390625,17726.5,402400,NIFTY AUTO
2023-12-13,17753.80078125,17937.150390625,17699.650390625,17917.900390625,418200,NIFTY AUTO
2023-12-14,17998.55078125,18077.0,17926.599609375,18045.05078125,587500,NIFTY AUTO
2023-12-15,18179.19921875,18182.099609375,17843.25,18038.25,529100,NIFTY AUTO
2023-12-18,18048.44921875,18156.099609375,17969.75,18068.25,351500,NIFTY AUTO
2023-12-19,18112.25,18116.55078125,17905.099609375,17932.69921875,321300,NIFTY AUTO
2023-12-20,18019.099609375,18038.5,17479.900390625,17523.55078125,536700,NIFTY AUTO
2023-12-21,17405.0,17603.55078125,17294.349609375,17537.849609375,492600,NIFTY AUTO
2023-12-22,17627.75,17840.599609375,17566.849609375,17778.900390625,386100,NIFTY AUTO
2023-12-26,17841.900390625,17977.05078125,17806.900390625,17953.55078125,394400,NIFTY AUTO
2023-12-27,18040.349609375,18242.849609375,18009.75,18224.849609375,551700,NIFTY AUTO
2023-12-28,18244.349609375,18446.55078125,18234.75,18408.599609375,543500,NIFTY AUTO
2023-12-29,18440.80078125,18719.5,18417.849609375,18618.19921875,1582300,NIFTY AUTO
2024-01-02,18651.349609375,18664.349609375,18241.0,18339.349609375,805000,NIFTY AUTO
2024-01-03,18361.30078125,18395.44921875,18175.5,18317.5,496900,NIFTY AUTO
2024-01-04,18428.94921875,18428.94921875,18296.75,18326.75,590600,NIFTY AUTO
2024-01-05,18378.44921875,18514.75,18345.19921875,18406.94921875,565300,NIFTY AUTO
2024-01-08,18490.650390625,18556.75,18332.30078125,18350.19921875,607500,NIFTY AUTO
2024-01-09,18542.44921875,18606.150390625,18402.400390625,18519.80078125,649300,NIFTY AUTO
2024-01-10,18565.599609375,18575.099609375,18384.44921875,18559.099609375,552200,NIFTY AUTO
2024-01-11,18648.5,18826.900390625,18631.44921875,18755.099609375,678900,NIFTY AUTO
2024-01-12,18771.0,18798.75,18588.150390625,18715.19921875,488600,NIFTY AUTO
2024-01-15,18796.650390625,18799.400390625,18623.599609375,18765.25,484400,NIFTY AUTO
2024-01-16,18749.099609375,18865.849609375,18642.30078125,18712.69921875,470000,NIFTY AUTO
2024-01-17,18537.0,18620.0,18413.650390625,18447.25,497500,NIFTY AUTO
2024-01-18,18402.5,18528.44921875,18142.5,18496.25,529800,NIFTY AUTO
2024-01-19,18585.05078125,18708.349609375,18572.75,18694.599609375,362200,NIFTY AUTO
2024-01-23,18649.599609375,18763.0,18314.150390625,18361.0,633600,NIFTY AUTO
2024-01-24,18384.599609375,18632.150390625,18143.75,18593.69921875,482700,NIFTY AUTO
2024-01-25,18707.75,18709.099609375,18434.44921875,18614.900390625,766400,NIFTY AUTO
2024-01-29,18631.0,18949.599609375,18570.75,18927.25,626200,NIFTY AUTO
2024-01-30,18993.650390625,19123.69921875,18859.099609375,18878.349609375,498300,NIFTY AUTO
2024-01-31,18887.150390625,19257.099609375,18861.55078125,19227.150390625,615900,NIFTY AUTO
2024-02-01,19351.849609375,19559.55078125,19283.349609375,19328.69921875,559300,NIFTY AUTO
2024-02-02,19364.0,19563.05078125,19304.75,19380.5,551300,NIFTY AUTO
2024-02-05,19655.849609375,19823.349609375,19529.19921875,19615.30078125,1150900,NIFTY AUTO
2024-02-06,19731.19921875,19912.44921875,19683.900390625,19903.849609375,1024400,NIFTY AUTO
2024-02-07,19977.75,20033.599609375,19762.19921875,19903.80078125,544800,NIFTY AUTO
2024-02-08,19963.25,19974.55078125,19607.5,19649.5,424300,NIFTY AUTO
2024-02-09,19709.75,19713.349609375,19365.19921875,19576.0,448600,NIFTY AUTO
2024-02-12,19644.0,19653.150390625,19364.5,19419.599609375,537600,NIFTY AUTO
2024-02-13,19504.94921875,19554.0,19235.900390625,19433.05078125,571800,NIFTY AUTO
2024-02-14,19300.5,19770.80078125,19257.099609375,19716.0,430000,NIFTY AUTO
2024-02-15,19842.650390625,20029.099609375,19811.94921875,19981.69921875,378200,NIFTY AUTO
2024-02-16,20093.650390625,20515.05078125,20074.099609375,20423.44921875,488700,NIFTY AUTO
2024-02-20,20459.349609375,20480.400390625,20239.5,20354.25,415200,NIFTY AUTO
2024-02-21,20372.0,20494.099609375,20192.44921875,20252.55078125,621800,NIFTY AUTO
2024-02-22,20341.150390625,20621.94921875,20181.0,20584.849609375,393300,NIFTY AUTO
2024-02-23,20692.80078125,20711.0,20540.75,20621.349609375,400700,NIFTY AUTO
2024-02-26,20633.44921875,20714.44921875,20537.5,20642.400390625,407700,NIFTY AUTO
2024-02-27,20633.400390625,20825.849609375,20593.0,20788.55078125,434900,NIFTY AUTO
2024-02-28,20808.400390625,20830.400390625,20325.69921875,20372.349609375,664500,NIFTY AUTO
2024-02-29,20317.80078125,20481.75,20230.19921875,20412.400390625,792000,NIFTY AUTO
2024-03-01,20485.75,20918.25,20473.30078125,20871.94921875,507800,NIFTY AUTO
2024-03-04,20998.849609375,21040.349609375,20824.94921875,20840.19921875,506600,NIFTY AUTO
2024-03-05,21003.099609375,21348.94921875,20930.400390625,21121.19921875,1208500,NIFTY AUTO
2024-03-06,21153.349609375,21229.349609375,20888.80078125,21181.30078125,4946400,NIFTY AUTO
2024-03-07,21141.400390625,21247.55078125,21004.5,21126.80078125,646800,NIFTY AUTO
2024-03-11,21213.400390625,21219.849609375,20962.0,21001.150390625,572600,NIFTY AUTO
2024-03-12,20999.30078125,21077.05078125,20853.849609375,20931.849609375,446000,NIFTY AUTO
2024-03-13,20942.25,20988.55078125,20211.19921875,20338.25,789300,NIFTY AUTO
2024-03-14,20235.05078125,20569.25,20169.849609375,20514.25,653200,NIFTY AUTO
